_id,champion_id,augment_id,win_rate,pick_rate,sample_size,tier,patch_version,updated_at
1_1001,1,1001,0.6039,0.1624,7222,S,26.12,2026-06-26T14:52:45.295Z
1_1002,1,1002,0.6573,0.015,508,S,26.12,2026-06-26T14:52:45.295Z
1_1004,1,1004,0.7341,0.0395,4966,S,26.12,2026-06-26T14:52:45.295Z
1_1005,1,1005,0.7251,0.2024,1895,S,26.12,2026-06-26T14:52:45.295Z
1_1006,1,1006,0.6155,0.2266,711,S,26.12,2026-06-26T14:52:45.295Z
1_1011,1,1011,0.569,0.2087,4362,S,26.12,2026-06-26T14:52:45.295Z
1_1013,1,1013,0.7193,0.0351,7213,S,26.12,2026-06-26T14:52:45.295Z
1_1015,1,1015,0.6306,0.0605,1683,S,26.12,2026-06-26T14:52:45.295Z
1_1018,1,1018,0.6432,0.1732,6308,S,26.12,2026-06-26T14:52:45.295Z
1_1019,1,1019,0.4993,0.022,2898,B,26.12,2026-06-26T14:52:45.295Z
1_1020,1,1020,0.7318,0.1744,968,S,26.12,2026-06-26T14:52:45.295Z
1_1027,1,1027,0.6761,0.0518,2401,S,26.12,2026-06-26T14:52:45.295Z
1_1029,1,1029,0.6181,0.2336,6648,S,26.12,2026-06-26T14:52:45.295Z
1_1030,1,1030,0.6427,0.231,1748,S,26.12,2026-06-26T14:52:45.295Z
1_1036,1,1036,0.5535,0.0915,6915,S,26.12,2026-06-26T14:52:45.295Z
1_1038,1,1038,0.4793,0.2456,7422,C,26.12,2026-06-26T14:52:45.295Z
1_1041,1,1041,0.6655,0.0734,3567,S,26.12,2026-06-26T14:52:45.295Z
1_1045,1,1045,0.5316,0.2387,8611,A,26.12,2026-06-26T14:52:45.295Z
1_1047,1,1047,0.5941,0.071,1587,S,26.12,2026-06-26T14:52:45.295Z
1_1048,1,1048,0.6867,0.2396,2725,S,26.12,2026-06-26T14:52:45.295Z
1_1053,1,1053,0.5747,0.0712,3639,S,26.12,2026-06-26T14:52:45.295Z
1_1054,1,1054,0.6039,0.1901,4832,S,26.12,2026-06-26T14:52:45.295Z
1_1058,1,1058,0.6573,0.1087,8522,S,26.12,2026-06-26T14:52:45.295Z
1_1061,1,1061,0.5314,0.0542,3474,A,26.12,2026-06-26T14:52:45.295Z
1_1062,1,1062,0.478,0.0711,6928,C,26.12,2026-06-26T14:52:45.295Z
1_1063,1,1063,0.6164,0.0892,3194,S,26.12,2026-06-26T14:52:45.295Z
1_1064,1,1064,0.6572,0.163,7275,S,26.12,2026-06-26T14:52:45.295Z
1_1066,1,1066,0.6549,0.2069,8443,S,26.12,2026-06-26T14:52:45.295Z
1_1067,1,1067,0.4617,0.2309,4802,C,26.12,2026-06-26T14:52:45.295Z
1_1068,1,1068,0.458,0.1752,3955,C,26.12,2026-06-26T14:52:45.295Z
1_1071,1,1071,0.5613,0.2168,350,S,26.12,2026-06-26T14:52:45.295Z
1_1072,1,1072,0.7252,0.1932,3031,S,26.12,2026-06-26T14:52:45.295Z
1_1074,1,1074,0.4608,0.1471,421,C,26.12,2026-06-26T14:52:45.295Z
1_1077,1,1077,0.4826,0.1604,6257,B,26.12,2026-06-26T14:52:45.295Z
1_1079,1,1079,0.7156,0.0395,1373,S,26.12,2026-06-26T14:52:45.295Z
1_1081,1,1081,0.4887,0.1143,2218,B,26.12,2026-06-26T14:52:45.295Z
1_1084,1,1084,0.6875,0.0346,9803,S,26.12,2026-06-26T14:52:45.295Z
1_1088,1,1088,0.6543,0.0023,5354,S,26.12,2026-06-26T14:52:45.295Z
1_1092,1,1092,0.5984,0.1044,2629,S,26.12,2026-06-26T14:52:45.295Z
1_1095,1,1095,0.549,0.058,891,A,26.12,2026-06-26T14:52:45.295Z
1_1098,1,1098,0.5186,0.111,5401,B,26.12,2026-06-26T14:52:45.295Z
1_1103,1,1103,0.5815,0.06,10077,S,26.12,2026-06-26T14:52:45.295Z
1_1104,1,1104,0.5071,0.1145,8742,B,26.12,2026-06-26T14:52:45.295Z
1_1113,1,1113,0.5117,0.0216,5727,B,26.12,2026-06-26T14:52:45.295Z
1_1115,1,1115,0.5341,0.1638,5170,A,26.12,2026-06-26T14:52:45.295Z
1_1116,1,1116,0.6383,0.2241,8345,S,26.12,2026-06-26T14:52:45.295Z
1_1118,1,1118,0.661,0.0809,7661,S,26.12,2026-06-26T14:52:45.295Z
1_1129,1,1129,0.5707,0.0181,1492,S,26.12,2026-06-26T14:52:45.295Z
1_1133,1,1133,0.6137,0.0907,7508,S,26.12,2026-06-26T14:52:45.295Z
1_1134,1,1134,0.4829,0.2459,9047,B,26.12,2026-06-26T14:52:45.295Z
1_1141,1,1141,0.5794,0.1316,9479,S,26.12,2026-06-26T14:52:45.295Z
1_1149,1,1149,0.5464,0.0008,4962,A,26.12,2026-06-26T14:52:45.295Z
1_1150,1,1150,0.7013,0.2064,8622,S,26.12,2026-06-26T14:52:45.295Z
1_1151,1,1151,0.7056,0.2381,9971,S,26.12,2026-06-26T14:52:45.295Z
1_1152,1,1152,0.4773,0.1897,7362,C,26.12,2026-06-26T14:52:45.295Z
1_1154,1,1154,0.5558,0.0938,4034,S,26.12,2026-06-26T14:52:45.295Z
1_1156,1,1156,0.5312,0.031,9204,A,26.12,2026-06-26T14:52:45.295Z
1_1180,1,1180,0.712,0.1844,1262,S,26.12,2026-06-26T14:52:45.295Z
1_1194,1,1194,0.6728,0.0145,6454,S,26.12,2026-06-26T14:52:45.295Z
1_1195,1,1195,0.6994,0.0093,4503,S,26.12,2026-06-26T14:52:45.295Z
1_1211,1,1211,0.5266,0.2278,208,A,26.12,2026-06-26T14:52:45.295Z
1_1220,1,1220,0.5366,0.2004,5289,A,26.12,2026-06-26T14:52:45.295Z
1_1225,1,1225,0.6902,0.0092,4998,S,26.12,2026-06-26T14:52:45.295Z
1_1238,1,1238,0.653,0.1192,3226,S,26.12,2026-06-26T14:52:45.295Z
1_1243,1,1243,0.5464,0.1567,7176,A,26.12,2026-06-26T14:52:45.295Z
1_1301,1,1301,0.5705,0.2062,6540,S,26.12,2026-06-26T14:52:45.295Z
1_1310,1,1310,0.6886,0.0545,3940,S,26.12,2026-06-26T14:52:45.295Z
1_1311,1,1311,0.511,0.1428,5786,B,26.12,2026-06-26T14:52:45.295Z
1_1322,1,1322,0.7471,0.1933,622,S,26.12,2026-06-26T14:52:45.295Z
1_1323,1,1323,0.7143,0.1209,2451,S,26.12,2026-06-26T14:52:45.295Z
1_1324,1,1324,0.4953,0.0406,6086,B,26.12,2026-06-26T14:52:45.295Z
1_1325,1,1325,0.6967,0.1151,9304,S,26.12,2026-06-26T14:52:45.295Z
1_1326,1,1326,0.6148,0.044,6105,S,26.12,2026-06-26T14:52:45.295Z
1_1328,1,1328,0.51,0.1651,6233,B,26.12,2026-06-26T14:52:45.295Z
1_1329,1,1329,0.4961,0.0409,9492,B,26.12,2026-06-26T14:52:45.295Z
1_1331,1,1331,0.4636,0.1429,1301,C,26.12,2026-06-26T14:52:45.295Z
1_1332,1,1332,0.5054,0.0098,7488,B,26.12,2026-06-26T14:52:45.295Z
1_1334,1,1334,0.5338,0.0087,6579,A,26.12,2026-06-26T14:52:45.295Z
1_1335,1,1335,0.5616,0.0161,7616,S,26.12,2026-06-26T14:52:45.295Z
