_id,riot_id,win_rate,pick_rate,champions_count,tier,patch_version,updated_at
"1134",1134,60.26,5.67,26,"B","26.12","2026-06-27T11:00:24.535Z"
"1095",1095,57.88,6.89,19,"B","26.12","2026-06-27T11:00:24.535Z"
"1361",1361,57.35,5.97,57,"B","26.12","2026-06-27T11:00:24.535Z"
"2102",2102,57.31,9.58,66,"B","26.12","2026-06-27T11:00:24.535Z"
"1204",1204,57.19,0.49,74,"B","26.12","2026-06-27T11:00:24.535Z"
"1054",1054,57.13,7.37,6,"B","26.12","2026-06-27T11:00:24.535Z"
"1225",1225,55.49,9.52,55,"B","26.12","2026-06-27T11:00:24.535Z"
"2031",2031,54.9,0.17,27,"B","26.12","2026-06-27T11:00:24.535Z"
"1356",1356,54.65,19.48,30,"B","26.12","2026-06-27T11:00:24.535Z"
"1152",1152,54.51,15.48,52,"B","26.12","2026-06-27T11:00:24.535Z"
"1053",1053,54.28,0.43,136,"B","26.12","2026-06-27T11:00:24.535Z"
"1389",1389,54.25,0.23,91,"B","26.12","2026-06-27T11:00:24.535Z"
"1004",1004,54.21,2.25,106,"B","26.12","2026-06-27T11:00:24.535Z"
"2111",2111,54.13,23.77,9,"B","26.12","2026-06-27T11:00:24.535Z"
"1005",1005,54.06,12.04,21,"B","26.12","2026-06-27T11:00:24.535Z"
"2010",2010,53.95,11.71,37,"B","26.12","2026-06-27T11:00:24.535Z"
"1092",1092,53.72,1.63,26,"B","26.12","2026-06-27T11:00:24.535Z"
"1181",1181,53.61,14.67,81,"B","26.12","2026-06-27T11:00:24.535Z"
"1336",1336,53.6,22.87,43,"B","26.12","2026-06-27T11:00:24.535Z"
"1420",1420,53.59,3.67,97,"B","26.12","2026-06-27T11:00:24.535Z"
"2095",2095,53.54,0.8,155,"B","26.12","2026-06-27T11:00:24.535Z"
"1041",1041,53.53,7.22,108,"B","26.12","2026-06-27T11:00:24.535Z"
"1077",1077,53.32,10.77,36,"B","26.12","2026-06-27T11:00:24.535Z"
"1045",1045,53.29,8.12,72,"B","26.12","2026-06-27T11:00:24.535Z"
"1353",1353,53.29,11.59,106,"B","26.12","2026-06-27T11:00:24.535Z"
"1080",1080,53.25,3.12,52,"B","26.12","2026-06-27T11:00:24.535Z"
"1319",1319,53.2,6.82,45,"B","26.12","2026-06-27T11:00:24.535Z"
"1081",1081,53.05,8.27,47,"B","26.12","2026-06-27T11:00:24.535Z"
"1388",1388,53,5.12,112,"B","26.12","2026-06-27T11:00:24.535Z"
"1028",1028,52.95,0.89,115,"B","26.12","2026-06-27T11:00:24.535Z"
"1051",1051,52.91,4.06,51,"B","26.12","2026-06-27T11:00:24.535Z"
"2006",2006,52.88,9.39,78,"B","26.12","2026-06-27T11:00:24.535Z"
"2078",2078,52.8,5.91,2,"B","26.12","2026-06-27T11:00:24.535Z"
"1337",1337,52.62,0.34,102,"B","26.12","2026-06-27T11:00:24.535Z"
"1022",1022,52.6,6.94,75,"B","26.12","2026-06-27T11:00:24.535Z"
"2119",2119,52.5,0.26,56,"B","26.12","2026-06-27T11:00:24.535Z"
"1311",1311,52.49,4.08,31,"B","26.12","2026-06-27T11:00:24.535Z"
"1333",1333,52.47,1.15,167,"B","26.12","2026-06-27T11:00:24.535Z"
"1195",1195,52.44,4.49,126,"B","26.12","2026-06-27T11:00:24.535Z"
"1026",1026,52.43,0.42,80,"B","26.12","2026-06-27T11:00:24.535Z"
"1002",1002,52.42,0.95,45,"B","26.12","2026-06-27T11:00:24.535Z"
"2127",2127,52.42,1.77,145,"B","26.12","2026-06-27T11:00:24.535Z"
"1058",1058,52.41,7.35,54,"B","26.12","2026-06-27T11:00:24.535Z"
"1154",1154,52.41,0.31,77,"B","26.12","2026-06-27T11:00:24.535Z"
"2080",2080,52.41,0.16,14,"B","26.12","2026-06-27T11:00:24.535Z"
"2131",2131,52.39,1.3,15,"B","26.12","2026-06-27T11:00:24.535Z"
"1220",1220,52.35,6.28,46,"B","26.12","2026-06-27T11:00:24.535Z"
"1105",1105,52.29,0.94,123,"B","26.12","2026-06-27T11:00:24.535Z"
"1071",1071,52.24,12.87,54,"B","26.12","2026-06-27T11:00:24.535Z"
"1062",1062,52.22,0.48,136,"B","26.12","2026-06-27T11:00:24.535Z"
"2139",2139,52.19,1.19,43,"B","26.12","2026-06-27T11:00:24.535Z"
"1030",1030,52.17,13.16,75,"B","26.12","2026-06-27T11:00:24.535Z"
"1390",1390,52.16,14.95,73,"B","26.12","2026-06-27T11:00:24.535Z"
"1156",1156,52.15,6.29,72,"B","26.12","2026-06-27T11:00:24.535Z"
"1029",1029,52.14,6.81,49,"B","26.12","2026-06-27T11:00:24.535Z"
"1335",1335,52.1,0.24,73,"B","26.12","2026-06-27T11:00:24.535Z"
"1401",1401,52.03,1.27,81,"B","26.12","2026-06-27T11:00:24.535Z"
"1129",1129,51.89,7.4,39,"B","26.12","2026-06-27T11:00:24.535Z"
