_id,riot_id,win_rate,pick_rate,num_games,tier,patch_version,updated_at
"1",1,49.37,0.44,33514,"B","26.12","2026-06-27T10:58:38.103Z"
"2",2,49.16,0.24,18618,"B","26.12","2026-06-27T10:58:38.105Z"
"3",3,52.81,0.75,57460,"A","26.12","2026-06-27T10:58:38.106Z"
"4",4,51.92,0.69,52422,"B","26.12","2026-06-27T10:58:38.796Z"
"5",5,50.88,0.44,33259,"B","26.12","2026-06-27T10:58:38.796Z"
"6",6,46.83,0.37,28055,"C","26.12","2026-06-27T10:58:38.796Z"
"7",7,41.12,0.44,33216,"D","26.12","2026-06-27T10:58:39.447Z"
"8",8,50.54,0.49,37055,"B","26.12","2026-06-27T10:58:39.448Z"
"9",9,49.85,0.51,38736,"B","26.12","2026-06-27T10:58:39.448Z"
"10",10,57.29,0.73,55601,"S","26.12","2026-06-27T10:58:40.146Z"
"11",11,52.68,0.69,52728,"A","26.12","2026-06-27T10:58:40.147Z"
"12",12,51.2,0.69,52454,"B","26.12","2026-06-27T10:58:40.147Z"
"13",13,52.66,0.7,53321,"A","26.12","2026-06-27T10:58:41.222Z"
"14",14,59.88,0.76,57818,"S","26.12","2026-06-27T10:58:41.223Z"
"15",15,51.66,0.71,54325,"B","26.12","2026-06-27T10:58:41.224Z"
"16",16,51.04,0.62,47430,"B","26.12","2026-06-27T10:58:41.919Z"
"17",17,49.41,0.96,73147,"B","26.12","2026-06-27T10:58:41.920Z"
"18",18,51.03,0.88,66661,"B","26.12","2026-06-27T10:58:41.920Z"
"19",19,48.1,0.29,22076,"B","26.12","2026-06-27T10:58:42.587Z"
"20",20,44.76,0.41,31056,"C","26.12","2026-06-27T10:58:42.588Z"
"21",21,49.46,1.28,97234,"B","26.12","2026-06-27T10:58:42.588Z"
"22",22,51.27,1.28,97269,"B","26.12","2026-06-27T10:58:43.268Z"
"23",23,48.3,0.34,26147,"B","26.12","2026-06-27T10:58:43.268Z"
"24",24,52.12,0.45,34330,"A","26.12","2026-06-27T10:58:43.269Z"
"25",25,50.6,1.13,85744,"B","26.12","2026-06-27T10:58:43.971Z"
"26",26,52.24,0.54,40909,"A","26.12","2026-06-27T10:58:43.972Z"
"27",27,50.33,0.67,50745,"B","26.12","2026-06-27T10:58:43.972Z"
"28",28,46.68,0.17,12979,"C","26.12","2026-06-27T10:58:44.697Z"
"29",29,49,0.95,72304,"B","26.12","2026-06-27T10:58:44.697Z"
"30",30,51.34,0.9,68821,"B","26.12","2026-06-27T10:58:44.698Z"
"31",31,47.61,0.89,67693,"B","26.12","2026-06-27T10:58:45.363Z"
"32",32,50.74,0.59,44632,"B","26.12","2026-06-27T10:58:45.363Z"
"33",33,50.96,0.42,31836,"B","26.12","2026-06-27T10:58:45.364Z"
"34",34,46.26,0.6,45535,"C","26.12","2026-06-27T10:58:45.985Z"
"35",35,44.66,0.91,69244,"C","26.12","2026-06-27T10:58:45.986Z"
"36",36,56,0.9,68904,"S","26.12","2026-06-27T10:58:45.986Z"
"37",37,53.27,0.57,43207,"A","26.12","2026-06-27T10:58:46.663Z"
"38",38,52.22,0.36,27487,"A","26.12","2026-06-27T10:58:46.663Z"
"39",39,43.24,0.23,17533,"D","26.12","2026-06-27T10:58:46.664Z"
"40",40,51.46,0.46,35268,"B","26.12","2026-06-27T10:58:47.384Z"
