_id,champion_id,item_id,win_rate,pick_rate,sample_size,tier,patch_version,updated_at
"1_1001_26.12",1,1001,51.15,2.47,829,"B","26.12","2026-06-27T10:58:38.105Z"
"1_1011_26.12",1,1011,53.58,0.79,265,"C","26.12","2026-06-27T10:58:38.105Z"
"1_1026_26.12",1,1026,47.97,2.5,838,"B","26.12","2026-06-27T10:58:38.105Z"
"1_1027_26.12",1,1027,62.96,0.24,81,"D","26.12","2026-06-27T10:58:38.105Z"
"1_1028_26.12",1,1028,40.91,0.53,176,"C","26.12","2026-06-27T10:58:38.105Z"
"1_1029_26.12",1,1029,46.94,0.29,98,"D","26.12","2026-06-27T10:58:38.105Z"
"1_1052_26.12",1,1052,52.93,8.45,2832,"A","26.12","2026-06-27T10:58:38.105Z"
"1_1058_26.12",1,1058,50.57,18.66,6253,"A","26.12","2026-06-27T10:58:38.105Z"
"1_2022_26.12",1,2022,51.25,0.24,80,"D","26.12","2026-06-27T10:58:38.105Z"
"1_2031_26.12",1,2031,48.63,8.83,2959,"A","26.12","2026-06-27T10:58:38.105Z"
"1_2052_26.12",1,2052,50.94,26.79,8980,"S","26.12","2026-06-27T10:58:38.105Z"
"1_2420_26.12",1,2420,48.17,1.79,600,"B","26.12","2026-06-27T10:58:38.105Z"
"1_2421_26.12",1,2421,53.77,0.95,318,"C","26.12","2026-06-27T10:58:38.105Z"
"1_2503_26.12",1,2503,52.23,7.1,2378,"A","26.12","2026-06-27T10:58:38.105Z"
"1_2504_26.12",1,2504,47.06,0.2,68,"D","26.12","2026-06-27T10:58:38.105Z"
"1_2508_26.12",1,2508,44.19,1.85,620,"B","26.12","2026-06-27T10:58:38.105Z"
"1_2522_26.12",1,2522,45.83,0.21,72,"D","26.12","2026-06-27T10:58:38.105Z"
"1_2530_26.12",1,2530,45.65,0.27,92,"D","26.12","2026-06-27T10:58:38.105Z"
"1_3003_26.12",1,3003,41.57,0.53,178,"C","26.12","2026-06-27T10:58:38.105Z"
"1_3008_26.12",1,3008,53.38,1.28,429,"B","26.12","2026-06-27T10:58:38.105Z"
"1_3009_26.12",1,3009,52.11,0.64,213,"C","26.12","2026-06-27T10:58:38.105Z"
"1_3020_26.12",1,3020,49.52,75.14,25183,"S","26.12","2026-06-27T10:58:38.105Z"
"1_3040_26.12",1,3040,51.13,5.4,1811,"A","26.12","2026-06-27T10:58:38.105Z"
"1_3047_26.12",1,3047,34.67,0.22,75,"D","26.12","2026-06-27T10:58:38.105Z"
"1_3067_26.12",1,3067,35.94,0.19,64,"D","26.12","2026-06-27T10:58:38.105Z"
"1_3070_26.12",1,3070,48.58,2.73,916,"B","26.12","2026-06-27T10:58:38.105Z"
"1_3083_26.12",1,3083,42.99,0.32,107,"D","26.12","2026-06-27T10:58:38.105Z"
"1_3084_26.12",1,3084,39.55,0.4,134,"C","26.12","2026-06-27T10:58:38.105Z"
"1_3089_26.12",1,3089,50.78,47.61,15957,"S","26.12","2026-06-27T10:58:38.105Z"
"1_3100_26.12",1,3100,44.12,0.51,170,"C","26.12","2026-06-27T10:58:38.105Z"
"1_3102_26.12",1,3102,52.5,1.49,501,"B","26.12","2026-06-27T10:58:38.105Z"
"1_3108_26.12",1,3108,50.9,0.5,167,"C","26.12","2026-06-27T10:58:38.105Z"
"1_3111_26.12",1,3111,45.91,1.24,416,"B","26.12","2026-06-27T10:58:38.105Z"
"1_3112_26.12",1,3112,46.42,0.79,265,"C","26.12","2026-06-27T10:58:38.105Z"
"1_3113_26.12",1,3113,47.66,1.4,470,"B","26.12","2026-06-27T10:58:38.105Z"
"1_3115_26.12",1,3115,45.64,0.44,149,"C","26.12","2026-06-27T10:58:38.105Z"
"1_3116_26.12",1,3116,51.05,11.28,3779,"A","26.12","2026-06-27T10:58:38.105Z"
"1_3118_26.12",1,3118,49.83,78.41,26279,"S","26.12","2026-06-27T10:58:38.105Z"
"1_3121_26.12",1,3121,44.09,0.28,93,"D","26.12","2026-06-27T10:58:38.105Z"
"1_3135_26.12",1,3135,47.7,19.03,6378,"A","26.12","2026-06-27T10:58:38.105Z"
"1_3137_26.12",1,3137,49.12,1.01,340,"B","26.12","2026-06-27T10:58:38.105Z"
"1_3145_26.12",1,3145,47.82,7.33,2455,"A","26.12","2026-06-27T10:58:38.105Z"
"1_3147_26.12",1,3147,46.13,2.2,737,"B","26.12","2026-06-27T10:58:38.105Z"
"1_3152_26.12",1,3152,49.36,5.37,1801,"A","26.12","2026-06-27T10:58:38.105Z"
"1_3157_26.12",1,3157,49.08,23.24,7789,"S","26.12","2026-06-27T10:58:38.105Z"
"1_3158_26.12",1,3158,48.35,5.62,1884,"A","26.12","2026-06-27T10:58:38.105Z"
"1_3165_26.12",1,3165,44.63,8.22,2754,"A","26.12","2026-06-27T10:58:38.105Z"
"1_3802_26.12",1,3802,50.65,1.84,618,"B","26.12","2026-06-27T10:58:38.105Z"
"1_3916_26.12",1,3916,42.99,4.23,1419,"A","26.12","2026-06-27T10:58:38.105Z"
"1_4005_26.12",1,4005,42.2,0.33,109,"D","26.12","2026-06-27T10:58:38.105Z"
"1_4629_26.12",1,4629,53.68,0.41,136,"C","26.12","2026-06-27T10:58:38.105Z"
"1_4630_26.12",1,4630,48.66,4.45,1492,"A","26.12","2026-06-27T10:58:38.105Z"
"1_4632_26.12",1,4632,54.55,0.23,77,"D","26.12","2026-06-27T10:58:38.105Z"
"1_4633_26.12",1,4633,49.25,0.59,199,"C","26.12","2026-06-27T10:58:38.105Z"
"1_4645_26.12",1,4645,49.29,61.62,20651,"S","26.12","2026-06-27T10:58:38.105Z"
"1_4646_26.12",1,4646,49.35,46.49,15580,"S","26.12","2026-06-27T10:58:38.105Z"
"1_6617_26.12",1,6617,42.42,0.2,66,"D","26.12","2026-06-27T10:58:38.105Z"
"1_6653_26.12",1,6653,50.42,35.61,11935,"S","26.12","2026-06-27T10:58:38.105Z"
"1_6655_26.12",1,6655,48.81,32.72,10965,"S","26.12","2026-06-27T10:58:38.105Z"
"1_6657_26.12",1,6657,49.12,5.92,1983,"A","26.12","2026-06-27T10:58:38.105Z"
"1_8010_26.12",1,8010,48.51,1.1,369,"B","26.12","2026-06-27T10:58:38.105Z"
