_id,champion_id,augment_id,stage,win_rate,sample_size,tier,patch_version,updated_at
"1353_3_global_26.12",,1353,3,47.56,43135,"C","26.12","2026-06-27T10:48:15.368Z"
"1353_7_global_26.12",,1353,7,47.85,59675,"C","26.12","2026-06-27T10:48:15.368Z"
"1353_11_global_26.12",,1353,11,49.25,74813,"B","26.12","2026-06-27T10:48:15.368Z"
"1353_15_global_26.12",,1353,15,49.31,69927,"B","26.12","2026-06-27T10:48:15.368Z"
"1353_18_global_26.12",,1353,18,69.7,406,"A","26.12","2026-06-27T10:48:15.368Z"
"1181_3_global_26.12",,1181,3,50.44,34940,"B","26.12","2026-06-27T10:48:15.368Z"
"1181_7_global_26.12",,1181,7,51.32,43159,"A","26.12","2026-06-27T10:48:15.368Z"
"1181_11_global_26.12",,1181,11,52.6,72356,"A","26.12","2026-06-27T10:48:15.368Z"
"1181_15_global_26.12",,1181,15,53.24,92013,"S","26.12","2026-06-27T10:48:15.368Z"
"1181_18_global_26.12",,1181,18,52.19,753,"D","26.12","2026-06-27T10:48:15.368Z"
"1336_3_global_26.12",,1336,3,45.5,40151,"D","26.12","2026-06-27T10:48:15.368Z"
"1336_7_global_26.12",,1336,7,46.74,56526,"C","26.12","2026-06-27T10:48:15.368Z"
"1336_11_global_26.12",,1336,11,47.95,69360,"B","26.12","2026-06-27T10:48:15.368Z"
"1336_15_global_26.12",,1336,15,47.73,73133,"C","26.12","2026-06-27T10:48:15.368Z"
"1336_18_global_26.12",,1336,18,47.83,69,"D","26.12","2026-06-27T10:48:15.368Z"
"1390_3_global_26.12",,1390,3,49.58,2999,"C","26.12","2026-06-27T10:48:15.368Z"
"1390_7_global_26.12",,1390,7,48.65,12130,"C","26.12","2026-06-27T10:48:15.368Z"
"1390_11_global_26.12",,1390,11,48.21,18534,"C","26.12","2026-06-27T10:48:15.368Z"
"1390_15_global_26.12",,1390,15,47.43,25534,"C","26.12","2026-06-27T10:48:15.368Z"
"1152_3_global_26.12",,1152,3,46.92,35711,"C","26.12","2026-06-27T10:48:15.368Z"
"1152_7_global_26.12",,1152,7,47.66,49407,"C","26.12","2026-06-27T10:48:15.368Z"
"1152_11_global_26.12",,1152,11,49.02,51490,"B","26.12","2026-06-27T10:48:15.368Z"
"1152_15_global_26.12",,1152,15,50.54,49088,"A","26.12","2026-06-27T10:48:15.368Z"
"1152_18_global_26.12",,1152,18,53.57,56,"D","26.12","2026-06-27T10:48:15.368Z"
"1356_3_global_26.12",,1356,3,55.23,182079,"S","26.12","2026-06-27T10:48:15.368Z"
"1356_7_global_26.12",,1356,7,48.58,4782,"C","26.12","2026-06-27T10:48:15.368Z"
"1356_11_global_26.12",,1356,11,49.21,7403,"C","26.12","2026-06-27T10:48:15.368Z"
"1356_15_global_26.12",,1356,15,51.75,10139,"A","26.12","2026-06-27T10:48:15.368Z"
"2132_3_global_26.12",,2132,3,56.41,23311,"S","26.12","2026-06-27T10:48:15.368Z"
"2132_7_global_26.12",,2132,7,55.35,23340,"S","26.12","2026-06-27T10:48:15.368Z"
"2132_11_global_26.12",,2132,11,54.62,25562,"S","26.12","2026-06-27T10:48:15.368Z"
"2132_15_global_26.12",,2132,15,52.86,21713,"A","26.12","2026-06-27T10:48:15.368Z"
"1361_3_global_26.12",,1361,3,53.93,145497,"S","26.12","2026-06-27T10:48:15.368Z"
"1361_7_global_26.12",,1361,7,53.03,150745,"S","26.12","2026-06-27T10:48:15.368Z"
"1361_11_global_26.12",,1361,11,53.57,173094,"S","26.12","2026-06-27T10:48:15.368Z"
"1361_15_global_26.12",,1361,15,50.79,142847,"A","26.12","2026-06-27T10:48:15.368Z"
"1361_18_global_26.12",,1361,18,55,160,"D","26.12","2026-06-27T10:48:15.368Z"
"1133_3_global_26.12",,1133,3,51.22,8416,"B","26.12","2026-06-27T10:48:15.368Z"
"1133_7_global_26.12",,1133,7,50.56,10931,"B","26.12","2026-06-27T10:48:15.368Z"
"1133_11_global_26.12",,1133,11,49.64,12622,"B","26.12","2026-06-27T10:48:15.368Z"
"1133_15_global_26.12",,1133,15,50.44,11922,"B","26.12","2026-06-27T10:48:15.368Z"
"1134_7_global_26.12",,1134,7,48.97,10105,"B","26.12","2026-06-27T10:48:15.368Z"
"1134_11_global_26.12",,1134,11,49.66,15468,"B","26.12","2026-06-27T10:48:15.368Z"
"1134_15_global_26.12",,1134,15,48.9,20501,"C","26.12","2026-06-27T10:48:15.368Z"
"1030_3_global_26.12",,1030,3,52.56,49720,"A","26.12","2026-06-27T10:48:15.368Z"
"1030_7_global_26.12",,1030,7,51.9,58411,"A","26.12","2026-06-27T10:48:15.368Z"
"1030_11_global_26.12",,1030,11,52.45,67329,"A","26.12","2026-06-27T10:48:15.368Z"
"1030_15_global_26.12",,1030,15,51.49,62814,"A","26.12","2026-06-27T10:48:15.368Z"
"1030_18_global_26.12",,1030,18,67.4,273,"B","26.12","2026-06-27T10:48:15.368Z"
"1041_3_global_26.12",,1041,3,49.93,14577,"B","26.12","2026-06-27T10:48:15.368Z"
"1041_7_global_26.12",,1041,7,50.22,23127,"B","26.12","2026-06-27T10:48:15.368Z"
"1041_11_global_26.12",,1041,11,50.77,40332,"A","26.12","2026-06-27T10:48:15.368Z"
"1041_15_global_26.12",,1041,15,50.5,48927,"A","26.12","2026-06-27T10:48:15.368Z"
"1071_3_global_26.12",,1071,3,54.09,22788,"A","26.12","2026-06-27T10:48:15.368Z"
"1071_7_global_26.12",,1071,7,53.31,69176,"A","26.12","2026-06-27T10:48:15.368Z"
"1071_11_global_26.12",,1071,11,52.57,65750,"A","26.12","2026-06-27T10:48:15.368Z"
"1071_15_global_26.12",,1071,15,51.12,64326,"A","26.12","2026-06-27T10:48:15.368Z"
"1225_3_global_26.12",,1225,3,49.56,9475,"C","26.12","2026-06-27T10:48:15.368Z"
"1225_7_global_26.12",,1225,7,49.04,12505,"B","26.12","2026-06-27T10:48:15.368Z"
"1225_11_global_26.12",,1225,11,49.94,19508,"B","26.12","2026-06-27T10:48:15.368Z"
"1225_15_global_26.12",,1225,15,50.42,22345,"B","26.12","2026-06-27T10:48:15.368Z"
"1225_18_global_26.12",,1225,18,53.15,762,"D","26.12","2026-06-27T10:48:15.368Z"
"1388_3_global_26.12",,1388,3,50.99,17296,"B","26.12","2026-06-27T10:48:15.368Z"
"1388_7_global_26.12",,1388,7,49.9,50336,"B","26.12","2026-06-27T10:48:15.368Z"
"1388_11_global_26.12",,1388,11,49.32,46381,"B","26.12","2026-06-27T10:48:15.368Z"
"1388_15_global_26.12",,1388,15,47.9,40314,"C","26.12","2026-06-27T10:48:15.368Z"
"2006_3_global_26.12",,2006,3,53.65,12502,"A","26.12","2026-06-27T10:48:15.368Z"
"2006_7_global_26.12",,2006,7,53.72,37457,"A","26.12","2026-06-27T10:48:15.368Z"
"2006_11_global_26.12",,2006,11,53.45,39591,"A","26.12","2026-06-27T10:48:15.368Z"
"2006_15_global_26.12",,2006,15,52.54,40159,"A","26.12","2026-06-27T10:48:15.368Z"
"1097_3_global_26.12",,1097,3,57.23,89052,"S","26.12","2026-06-27T10:48:15.368Z"
"1097_7_global_26.12",,1097,7,55.74,105129,"S","26.12","2026-06-27T10:48:15.368Z"
"1097_11_global_26.12",,1097,11,46.84,301,"D","26.12","2026-06-27T10:48:15.368Z"
"1097_15_global_26.12",,1097,15,44.97,169,"D","26.12","2026-06-27T10:48:15.368Z"
"1022_3_global_26.12",,1022,3,56.95,92044,"S","26.12","2026-06-27T10:48:15.368Z"
"1022_7_global_26.12",,1022,7,56.39,103728,"S","26.12","2026-06-27T10:48:15.368Z"
"1022_11_global_26.12",,1022,11,58.49,124573,"S","26.12","2026-06-27T10:48:15.368Z"
"1022_15_global_26.12",,1022,15,55.89,108446,"S","26.12","2026-06-27T10:48:15.368Z"
"1022_18_global_26.12",,1022,18,72.44,352,"S","26.12","2026-06-27T10:48:15.368Z"
"1045_3_global_26.12",,1045,3,47.5,4747,"C","26.12","2026-06-27T10:48:15.368Z"
"1045_7_global_26.12",,1045,7,48.59,16480,"C","26.12","2026-06-27T10:48:15.368Z"
"1045_11_global_26.12",,1045,11,48.99,19901,"B","26.12","2026-06-27T10:48:15.368Z"
"1045_15_global_26.12",,1045,15,48.83,23102,"C","26.12","2026-06-27T10:48:15.368Z"
"1095_3_global_26.12",,1095,3,48.04,4209,"C","26.12","2026-06-27T10:48:15.368Z"
"1095_7_global_26.12",,1095,7,47.98,8311,"C","26.12","2026-06-27T10:48:15.368Z"
"1095_11_global_26.12",,1095,11,47.47,16119,"C","26.12","2026-06-27T10:48:15.368Z"
"1095_15_global_26.12",,1095,15,47.09,21621,"D","26.12","2026-06-27T10:48:15.368Z"
"2010_3_global_26.12",,2010,3,48.35,36210,"C","26.12","2026-06-27T10:48:15.368Z"
"2010_7_global_26.12",,2010,7,47.13,38966,"C","26.12","2026-06-27T10:48:15.368Z"
"2010_11_global_26.12",,2010,11,47.64,42252,"C","26.12","2026-06-27T10:48:15.368Z"
"2010_15_global_26.12",,2010,15,47.12,36423,"C","26.12","2026-06-27T10:48:15.368Z"
"2010_18_global_26.12",,2010,18,70,160,"A","26.12","2026-06-27T10:48:15.368Z"
"1195_3_global_26.12",,1195,3,44.34,7038,"D","26.12","2026-06-27T10:48:15.368Z"
"1195_7_global_26.12",,1195,7,44.5,9310,"D","26.12","2026-06-27T10:48:15.368Z"
"1195_11_global_26.12",,1195,11,46.67,12516,"D","26.12","2026-06-27T10:48:15.368Z"
"1195_15_global_26.12",,1195,15,46.9,11646,"D","26.12","2026-06-27T10:48:15.368Z"
"1195_18_global_26.12",,1195,18,69.53,128,"A","26.12","2026-06-27T10:48:15.368Z"
"1077_3_global_26.12",,1077,3,54.96,23613,"A","26.12","2026-06-27T10:48:15.368Z"
"1077_7_global_26.12",,1077,7,52.16,4097,"A","26.12","2026-06-27T10:48:15.368Z"
"1077_11_global_26.12",,1077,11,51.31,5042,"A","26.12","2026-06-27T10:48:15.368Z"
"1077_15_global_26.12",,1077,15,49.95,6711,"B","26.12","2026-06-27T10:48:15.368Z"
"1156_3_global_26.12",,1156,3,48.14,53364,"C","26.12","2026-06-27T10:48:15.368Z"
"1156_7_global_26.12",,1156,7,46.29,2923,"D","26.12","2026-06-27T10:48:15.368Z"
"1156_11_global_26.12",,1156,11,46.99,4135,"D","26.12","2026-06-27T10:48:15.368Z"
"1156_15_global_26.12",,1156,15,47.66,4110,"C","26.12","2026-06-27T10:48:15.368Z"
"1007_3_global_26.12",,1007,3,54.15,16490,"A","26.12","2026-06-27T10:48:15.368Z"
"1007_7_global_26.12",,1007,7,53.27,54486,"A","26.12","2026-06-27T10:48:15.368Z"
"1007_11_global_26.12",,1007,11,51.85,51379,"A","26.12","2026-06-27T10:48:15.368Z"
"1007_15_global_26.12",,1007,15,50.12,49376,"A","26.12","2026-06-27T10:48:15.368Z"
"1007_18_global_26.12",,1007,18,68.97,58,"A","26.12","2026-06-27T10:48:15.368Z"
"1115_3_global_26.12",,1115,3,49.46,5423,"C","26.12","2026-06-27T10:48:15.368Z"
"1115_7_global_26.12",,1115,7,49.67,19471,"B","26.12","2026-06-27T10:48:15.368Z"
"1115_11_global_26.12",,1115,11,49.43,25636,"B","26.12","2026-06-27T10:48:15.368Z"
"1115_15_global_26.12",,1115,15,49.7,31899,"B","26.12","2026-06-27T10:48:15.368Z"
"1138_3_global_26.12",,1138,3,56.95,70469,"S","26.12","2026-06-27T10:48:15.368Z"
"1138_7_global_26.12",,1138,7,55.87,73906,"S","26.12","2026-06-27T10:48:15.368Z"
"1138_11_global_26.12",,1138,11,57.84,84644,"S","26.12","2026-06-27T10:48:15.368Z"
"1138_15_global_26.12",,1138,15,56.97,75455,"S","26.12","2026-06-27T10:48:15.368Z"
"1138_18_global_26.12",,1138,18,66.12,242,"B","26.12","2026-06-27T10:48:15.368Z"
"1319_3_global_26.12",,1319,3,55.32,50438,"S","26.12","2026-06-27T10:48:15.368Z"
"1319_7_global_26.12",,1319,7,54.67,56355,"S","26.12","2026-06-27T10:48:15.368Z"
"1319_11_global_26.12",,1319,11,54.56,62341,"S","26.12","2026-06-27T10:48:15.368Z"
"1319_15_global_26.12",,1319,15,53.97,70613,"S","26.12","2026-06-27T10:48:15.368Z"
"1319_18_global_26.12",,1319,18,67.31,52,"B","26.12","2026-06-27T10:48:15.368Z"
"1013_3_global_26.12",,1013,3,52.57,8469,"A","26.12","2026-06-27T10:48:15.368Z"
"1013_7_global_26.12",,1013,7,52.93,26797,"A","26.12","2026-06-27T10:48:15.368Z"
"1013_11_global_26.12",,1013,11,54.04,36504,"S","26.12","2026-06-27T10:48:15.368Z"
"1013_15_global_26.12",,1013,15,54.56,47685,"S","26.12","2026-06-27T10:48:15.368Z"
"1013_18_global_26.12",,1013,18,70.49,61,"A","26.12","2026-06-27T10:48:15.368Z"
"2102_3_global_26.12",,2102,3,49.33,7395,"C","26.12","2026-06-27T10:48:15.368Z"
"2102_7_global_26.12",,2102,7,48.8,9141,"C","26.12","2026-06-27T10:48:15.368Z"
"2102_11_global_26.12",,2102,11,49.5,10694,"B","26.12","2026-06-27T10:48:15.368Z"
