_id,augment_ids,champion_id,win_rate,sample_size,tier,patch_version,updated_at
1030_1097_1390_null_26.12,"[1030,1097,1390]",,0,367,S,26.12,2026-06-29T10:17:34.720Z
1030_1133_1390_null_26.12,"[1030,1133,1390]",,0,331,S,26.12,2026-06-29T10:17:34.720Z
1030_1390_2132_null_26.12,"[1030,1390,2132]",,0,240,S,26.12,2026-06-29T10:17:34.720Z
1030_1180_1390_null_26.12,"[1030,1180,1390]",,0,170,S,26.12,2026-06-29T10:17:34.720Z
1030_1211_1390_null_26.12,"[1030,1211,1390]",,0,154,S,26.12,2026-06-29T10:17:34.720Z
1088_1097_1390_null_26.12,"[1088,1097,1390]",,0,106,A,26.12,2026-06-29T10:17:34.720Z
1030_1097_1133_null_26.12,"[1030,1097,1133]",,0,325,B,26.12,2026-06-29T10:17:34.720Z
1030_1097_2132_null_26.12,"[1030,1097,2132]",,0,257,B,26.12,2026-06-29T10:17:34.720Z
1097_1133_1390_null_26.12,"[1097,1133,1390]",,0,238,B,26.12,2026-06-29T10:17:34.720Z
1030_1133_2132_null_26.12,"[1030,1133,2132]",,0,227,B,26.12,2026-06-29T10:17:34.720Z
1322_1344_2096_null_26.12,"[1322,1344,2096]",,0,272,S,26.12,2026-06-29T10:17:34.720Z
1007_1344_2096_null_26.12,"[1007,1344,2096]",,0,171,S,26.12,2026-06-29T10:17:34.720Z
1007_1322_1344_null_26.12,"[1007,1322,1344]",,0,128,S,26.12,2026-06-29T10:17:34.720Z
1079_1138_1322_null_26.12,"[1079,1138,1322]",,0,108,S,26.12,2026-06-29T10:17:34.720Z
1138_1344_2096_null_26.12,"[1138,1344,2096]",,0,375,A,26.12,2026-06-29T10:17:34.720Z
1138_1322_1344_null_26.12,"[1138,1322,1344]",,0,263,A,26.12,2026-06-29T10:17:34.720Z
1138_1344_2065_null_26.12,"[1138,1344,2065]",,0,104,B,26.12,2026-06-29T10:17:34.720Z
1058_1138_1322_null_26.12,"[1058,1138,1322]",,0,101,C,26.12,2026-06-29T10:17:34.720Z
1138_1322_2096_null_26.12,"[1138,1322,2096]",,0,300,D,26.12,2026-06-29T10:17:34.720Z
1020_1138_2096_null_26.12,"[1020,1138,2096]",,0,186,D,26.12,2026-06-29T10:17:34.720Z
1041_1181_1353_null_26.12,"[1041,1181,1353]",,0,580,S,26.12,2026-06-29T10:17:34.720Z
1152_1353_2006_null_26.12,"[1152,1353,2006]",,0,535,S,26.12,2026-06-29T10:17:34.720Z
1152_1181_1353_null_26.12,"[1152,1181,1353]",,0,498,S,26.12,2026-06-29T10:17:34.720Z
