_id,champion_id,augment_id,win_rate,pick_rate,sample_size,tier,patch_version,updated_at
1_1018_26.12,1,1018,49.69,1.46,489,A,26.12,2026-06-29T10:17:34.699Z
1_1028_26.12,1,1028,50.37,1.63,546,A,26.12,2026-06-29T10:17:34.699Z
1_1030_26.12,1,1030,54.11,21.21,7108,S,26.12,2026-06-29T10:17:34.699Z
1_1034_26.12,1,1034,53.44,1.56,524,S,26.12,2026-06-29T10:17:34.699Z
1_1038_26.12,1,1038,55.02,0.98,329,S,26.12,2026-06-29T10:17:34.699Z
1_1045_26.12,1,1045,54.86,1.66,556,S,26.12,2026-06-29T10:17:34.699Z
1_1046_26.12,1,1046,49.39,3.43,1148,A,26.12,2026-06-29T10:17:34.699Z
1_1053_26.12,1,1053,59.22,0.61,206,S,26.12,2026-06-29T10:17:34.699Z
1_1057_26.12,1,1057,48.95,0.71,239,B,26.12,2026-06-29T10:17:34.699Z
1_1060_26.12,1,1060,50.1,1.53,513,A,26.12,2026-06-29T10:17:34.699Z
1_1061_26.12,1,1061,51.15,0.52,174,A,26.12,2026-06-29T10:17:34.699Z
1_1068_26.12,1,1068,51.42,3.68,1233,A,26.12,2026-06-29T10:17:34.699Z
1_1072_26.12,1,1072,49.74,1.15,384,A,26.12,2026-06-29T10:17:34.699Z
1_1097_26.12,1,1097,49.82,22.16,7427,S,26.12,2026-06-29T10:17:34.699Z
1_1105_26.12,1,1105,52.89,2.22,743,S,26.12,2026-06-29T10:17:34.699Z
1_1116_26.12,1,1116,50.67,1.78,598,A,26.12,2026-06-29T10:17:34.699Z
1_1133_26.12,1,1133,49.78,23.02,7714,S,26.12,2026-06-29T10:17:34.699Z
1_1136_26.12,1,1136,49.16,5.17,1733,A,26.12,2026-06-29T10:17:34.699Z
1_1151_26.12,1,1151,49.7,1.47,493,A,26.12,2026-06-29T10:17:34.699Z
1_1156_26.12,1,1156,51.9,9.8,3285,S,26.12,2026-06-29T10:17:34.699Z
1_1180_26.12,1,1180,51.6,11.81,3957,S,26.12,2026-06-29T10:17:34.699Z
1_1194_26.12,1,1194,51.23,7.5,2512,S,26.12,2026-06-29T10:17:34.699Z
1_1195_26.12,1,1195,51.55,1.15,386,A,26.12,2026-06-29T10:17:34.699Z
1_1204_26.12,1,1204,59.42,0.21,69,S,26.12,2026-06-29T10:17:34.699Z
1_1205_26.12,1,1205,51.65,2.53,848,A,26.12,2026-06-29T10:17:34.699Z
1_1211_26.12,1,1211,47.68,13.68,4585,A,26.12,2026-06-29T10:17:34.699Z
1_1237_26.12,1,1237,49.29,3.79,1270,A,26.12,2026-06-29T10:17:34.699Z
1_1238_26.12,1,1238,48.5,5.17,1732,A,26.12,2026-06-29T10:17:34.699Z
1_1243_26.12,1,1243,49.22,1.35,451,B,26.12,2026-06-29T10:17:34.699Z
1_1301_26.12,1,1301,50.68,0.88,294,A,26.12,2026-06-29T10:17:34.699Z
1_1305_26.12,1,1305,51.96,1.83,612,A,26.12,2026-06-29T10:17:34.699Z
1_1308_26.12,1,1308,50.28,2.09,702,A,26.12,2026-06-29T10:17:34.699Z
1_1318_26.12,1,1318,49.29,13.1,4392,S,26.12,2026-06-29T10:17:34.699Z
1_1329_26.12,1,1329,50.92,1.46,489,A,26.12,2026-06-29T10:17:34.699Z
1_1333_26.12,1,1333,49.72,1.58,529,A,26.12,2026-06-29T10:17:34.699Z
1_1335_26.12,1,1335,48.48,0.2,66,B,26.12,2026-06-29T10:17:34.699Z
1_1337_26.12,1,1337,48.85,0.39,131,B,26.12,2026-06-29T10:17:34.699Z
1_1347_26.12,1,1347,54.4,0.37,125,S,26.12,2026-06-29T10:17:34.699Z
1_1349_26.12,1,1349,49.25,6.8,2280,A,26.12,2026-06-29T10:17:34.699Z
1_1353_26.12,1,1353,53.19,0.56,188,S,26.12,2026-06-29T10:17:34.699Z
1_1373_26.12,1,1373,52.18,2.6,872,A,26.12,2026-06-29T10:17:34.699Z
1_1384_26.12,1,1384,52.64,2.09,701,S,26.12,2026-06-29T10:17:34.699Z
1_1388_26.12,1,1388,52.66,7.91,2651,S,26.12,2026-06-29T10:17:34.699Z
1_1389_26.12,1,1389,65,0.48,160,S,26.12,2026-06-29T10:17:34.699Z
1_1390_26.12,1,1390,52.4,24.83,8320,S,26.12,2026-06-29T10:17:34.699Z
1_1403_26.12,1,1403,52.85,1.99,666,S,26.12,2026-06-29T10:17:34.699Z
1_1404_26.12,1,1404,53.46,1.25,419,S,26.12,2026-06-29T10:17:34.699Z
1_1415_26.12,1,1415,50.12,2.43,816,A,26.12,2026-06-29T10:17:34.699Z
1_1416_26.12,1,1416,50.27,2.21,740,A,26.12,2026-06-29T10:17:34.699Z
1_1420_26.12,1,1420,58.05,1.13,379,S,26.12,2026-06-29T10:17:34.699Z
1_2005_26.12,1,2005,49.32,0.22,73,B,26.12,2026-06-29T10:17:34.699Z
1_2031_26.12,1,2031,58.9,0.49,163,S,26.12,2026-06-29T10:17:34.699Z
1_2043_26.12,1,2043,50.54,0.28,93,A,26.12,2026-06-29T10:17:34.699Z
1_2054_26.12,1,2054,47.19,13.49,4522,A,26.12,2026-06-29T10:17:34.699Z
1_2082_26.12,1,2082,56.14,0.34,114,S,26.12,2026-06-29T10:17:34.699Z
1_2087_26.12,1,2087,47.71,7.1,2381,A,26.12,2026-06-29T10:17:34.699Z
1_2095_26.12,1,2095,53.37,1.06,356,S,26.12,2026-06-29T10:17:34.699Z
1_2098_26.12,1,2098,47.95,0.22,73,B,26.12,2026-06-29T10:17:34.699Z
1_2127_26.12,1,2127,50.79,3.2,1071,A,26.12,2026-06-29T10:17:34.699Z
1_2132_26.12,1,2132,51.1,18.1,6066,S,26.12,2026-06-29T10:17:34.699Z
2_1001_26.12,2,1001,48.09,7.03,1308,A,26.12,2026-06-29T10:17:34.699Z
2_1002_26.12,2,1002,48.18,0.59,110,B,26.12,2026-06-29T10:17:34.699Z
2_1007_26.12,2,1007,52.67,14.79,2753,S,26.12,2026-06-29T10:17:34.699Z
2_1013_26.12,2,1013,49.39,0.88,164,B,26.12,2026-06-29T10:17:34.699Z
2_1020_26.12,2,1020,47.92,18.05,3360,S,26.12,2026-06-29T10:17:34.699Z
2_1022_26.12,2,1022,49.15,2.54,472,B,26.12,2026-06-29T10:17:34.699Z
2_1025_26.12,2,1025,54.09,1.18,220,S,26.12,2026-06-29T10:17:34.699Z
2_1026_26.12,2,1026,59.32,0.63,118,S,26.12,2026-06-29T10:17:34.699Z
2_1028_26.12,2,1028,50.35,0.76,141,A,26.12,2026-06-29T10:17:34.699Z
2_1034_26.12,2,1034,54.39,0.31,57,S,26.12,2026-06-29T10:17:34.699Z
2_1041_26.12,2,1041,53.37,0.88,163,A,26.12,2026-06-29T10:17:34.699Z
2_1044_26.12,2,1044,53.41,0.47,88,A,26.12,2026-06-29T10:17:34.699Z
2_1047_26.12,2,1047,51.05,2.29,427,A,26.12,2026-06-29T10:17:34.699Z
2_1048_26.12,2,1048,49.25,0.36,67,B,26.12,2026-06-29T10:17:34.699Z
2_1051_26.12,2,1051,55.7,0.42,79,S,26.12,2026-06-29T10:17:34.699Z
2_1053_26.12,2,1053,52.63,0.41,76,A,26.12,2026-06-29T10:17:34.699Z
2_1058_26.12,2,1058,48.89,9.95,1853,A,26.12,2026-06-29T10:17:34.699Z
2_1060_26.12,2,1060,50,0.98,182,B,26.12,2026-06-29T10:17:34.699Z
2_1077_26.12,2,1077,49.23,2.8,522,B,26.12,2026-06-29T10:17:34.699Z
2_1079_26.12,2,1079,50.82,10.16,1891,S,26.12,2026-06-29T10:17:34.699Z
2_1080_26.12,2,1080,50.7,1.14,213,A,26.12,2026-06-29T10:17:34.699Z
2_1081_26.12,2,1081,55.17,0.62,116,S,26.12,2026-06-29T10:17:34.699Z
2_1084_26.12,2,1084,47.8,7.56,1408,B,26.12,2026-06-29T10:17:34.699Z
2_1087_26.12,2,1087,49.37,3.42,636,A,26.12,2026-06-29T10:17:34.699Z
2_1116_26.12,2,1116,48.45,1.04,194,B,26.12,2026-06-29T10:17:34.699Z
2_1138_26.12,2,1138,49.57,29.66,5522,S,26.12,2026-06-29T10:17:34.699Z
2_1154_26.12,2,1154,50.85,0.32,59,A,26.12,2026-06-29T10:17:34.699Z
2_1170_26.12,2,1170,50,1.17,218,B,26.12,2026-06-29T10:17:34.699Z
2_1181_26.12,2,1181,49.01,14.38,2677,S,26.12,2026-06-29T10:17:34.699Z
2_1195_26.12,2,1195,51,0.54,100,A,26.12,2026-06-29T10:17:34.699Z
2_1225_26.12,2,1225,53.51,3.75,699,S,26.12,2026-06-29T10:17:34.699Z
2_1237_26.12,2,1237,50.76,2.48,461,A,26.12,2026-06-29T10:17:34.699Z
2_1243_26.12,2,1243,50.77,0.7,130,A,26.12,2026-06-29T10:17:34.699Z
2_1301_26.12,2,1301,48.02,1.35,252,B,26.12,2026-06-29T10:17:34.699Z
2_1305_26.12,2,1305,50.1,2.57,479,A,26.12,2026-06-29T10:17:34.699Z
2_1322_26.12,2,1322,50.16,24.25,4514,S,26.12,2026-06-29T10:17:34.699Z
2_1333_26.12,2,1333,53.36,2.64,491,S,26.12,2026-06-29T10:17:34.699Z
2_1336_26.12,2,1336,51.86,5.77,1074,S,26.12,2026-06-29T10:17:34.699Z
2_1337_26.12,2,1337,57.14,0.3,56,S,26.12,2026-06-29T10:17:34.699Z
2_1344_26.12,2,1344,53.41,23.72,4417,S,26.12,2026-06-29T10:17:34.699Z
2_1353_26.12,2,1353,49.83,1.56,291,B,26.12,2026-06-29T10:17:34.699Z
2_1361_26.12,2,1361,53.3,3.34,621,S,26.12,2026-06-29T10:17:34.699Z
2_1384_26.12,2,1384,49.68,1.67,310,B,26.12,2026-06-29T10:17:34.699Z
2_1401_26.12,2,1401,49.41,1.37,255,B,26.12,2026-06-29T10:17:34.699Z
2_1403_26.12,2,1403,49.06,2,373,B,26.12,2026-06-29T10:17:34.699Z
2_1413_26.12,2,1413,53.25,4.04,753,S,26.12,2026-06-29T10:17:34.699Z
2_1416_26.12,2,1416,52.69,0.5,93,A,26.12,2026-06-29T10:17:34.699Z
2_1420_26.12,2,1420,50,0.78,146,B,26.12,2026-06-29T10:17:34.699Z
2_2005_26.12,2,2005,49.5,4.29,798,A,26.12,2026-06-29T10:17:34.699Z
2_2006_26.12,2,2006,49.78,1.2,223,B,26.12,2026-06-29T10:17:34.699Z
2_2010_26.12,2,2010,52.84,1.61,299,A,26.12,2026-06-29T10:17:34.699Z
2_2026_26.12,2,2026,51.38,1.36,253,A,26.12,2026-06-29T10:17:34.699Z
2_2065_26.12,2,2065,50.15,10.65,1982,S,26.12,2026-06-29T10:17:34.699Z
2_2091_26.12,2,2091,48.61,4.04,753,B,26.12,2026-06-29T10:17:34.699Z
2_2095_26.12,2,2095,59.86,0.76,142,S,26.12,2026-06-29T10:17:34.699Z
2_2096_26.12,2,2096,49.49,30.79,5733,S,26.12,2026-06-29T10:17:34.699Z
2_2098_26.12,2,2098,53.01,2.95,549,S,26.12,2026-06-29T10:17:34.699Z
2_2127_26.12,2,2127,51.89,1.42,264,A,26.12,2026-06-29T10:17:34.699Z
2_2132_26.12,2,2132,49.04,1.4,261,B,26.12,2026-06-29T10:17:34.699Z
2_12317_26.12,2,12317,59.04,0.45,83,S,26.12,2026-06-29T10:17:34.699Z
3_1002_26.12,3,1002,51.94,0.9,516,A,26.12,2026-06-29T10:17:34.699Z
3_1004_26.12,3,1004,54.38,2.04,1175,A,26.12,2026-06-29T10:17:34.699Z
3_1013_26.12,3,1013,53.09,20.13,11564,S,26.12,2026-06-29T10:17:34.699Z
3_1018_26.12,3,1018,51.03,11.51,6614,A,26.12,2026-06-29T10:17:34.699Z
3_1020_26.12,3,1020,55.03,1.21,696,A,26.12,2026-06-29T10:17:34.699Z
3_1028_26.12,3,1028,52.18,0.8,458,A,26.12,2026-06-29T10:17:34.699Z
3_1030_26.12,3,1030,51.74,2.45,1405,A,26.12,2026-06-29T10:17:34.699Z
3_1041_26.12,3,1041,55.82,17.78,10217,S,26.12,2026-06-29T10:17:34.699Z
3_1045_26.12,3,1045,51.6,4.83,2775,A,26.12,2026-06-29T10:17:34.699Z
3_1053_26.12,3,1053,62.33,0.37,215,S,26.12,2026-06-29T10:17:34.699Z
3_1056_26.12,3,1056,51.71,8.36,4802,A,26.12,2026-06-29T10:17:34.699Z
3_1057_26.12,3,1057,55.87,0.99,571,S,26.12,2026-06-29T10:17:34.699Z
3_1058_26.12,3,1058,59.09,0.11,66,S,26.12,2026-06-29T10:17:34.699Z
3_1060_26.12,3,1060,53.25,1.69,969,A,26.12,2026-06-29T10:17:34.699Z
3_1062_26.12,3,1062,54.55,0.4,231,A,26.12,2026-06-29T10:17:34.699Z
3_1063_26.12,3,1063,52.26,0.5,287,A,26.12,2026-06-29T10:17:34.699Z
3_1068_26.12,3,1068,55.34,1.24,712,A,26.12,2026-06-29T10:17:34.699Z
3_1071_26.12,3,1071,58.25,0.18,103,S,26.12,2026-06-29T10:17:34.699Z
3_1073_26.12,3,1073,56.26,0.76,439,S,26.12,2026-06-29T10:17:34.699Z
3_1097_26.12,3,1097,52.03,4.73,2716,A,26.12,2026-06-29T10:17:34.699Z
3_1105_26.12,3,1105,53.38,0.49,281,A,26.12,2026-06-29T10:17:34.699Z
3_1136_26.12,3,1136,51.46,12.82,7365,A,26.12,2026-06-29T10:17:34.699Z
3_1149_26.12,3,1149,49.42,8.95,5140,A,26.12,2026-06-29T10:17:34.699Z
3_1150_26.12,3,1150,54.94,1.37,790,A,26.12,2026-06-29T10:17:34.699Z
3_1152_26.12,3,1152,54.92,19.51,11208,S,26.12,2026-06-29T10:17:34.699Z
3_1181_26.12,3,1181,56.35,23.01,13223,S,26.12,2026-06-29T10:17:34.699Z
3_1195_26.12,3,1195,60,0.11,65,S,26.12,2026-06-29T10:17:34.699Z
3_1204_26.12,3,1204,57.99,0.5,288,S,26.12,2026-06-29T10:17:34.699Z
3_1237_26.12,3,1237,52.14,2.44,1402,A,26.12,2026-06-29T10:17:34.699Z
3_1238_26.12,3,1238,52.77,2.67,1537,A,26.12,2026-06-29T10:17:34.699Z
3_1305_26.12,3,1305,54.52,1.37,785,A,26.12,2026-06-29T10:17:34.699Z
3_1308_26.12,3,1308,51.66,0.63,362,B,26.12,2026-06-29T10:17:34.699Z
3_1315_26.12,3,1315,51.54,1.07,617,B,26.12,2026-06-29T10:17:34.699Z
3_1319_26.12,3,1319,53.75,14.77,8487,S,26.12,2026-06-29T10:17:34.699Z
3_1323_26.12,3,1323,51.84,8.23,4728,A,26.12,2026-06-29T10:17:34.699Z
3_1329_26.12,3,1329,53.59,0.53,306,A,26.12,2026-06-29T10:17:34.699Z
3_1333_26.12,3,1333,52.88,1.27,728,A,26.12,2026-06-29T10:17:34.699Z
3_1335_26.12,3,1335,61.82,0.1,55,S,26.12,2026-06-29T10:17:34.699Z
3_1353_26.12,3,1353,54.92,31.17,17912,S,26.12,2026-06-29T10:17:34.699Z
3_1361_26.12,3,1361,59.81,7.98,4586,S,26.12,2026-06-29T10:17:34.699Z
3_1375_26.12,3,1375,51.95,21.1,12122,S,26.12,2026-06-29T10:17:34.699Z
3_1388_26.12,3,1388,56.29,3.57,2050,S,26.12,2026-06-29T10:17:34.699Z
3_1389_26.12,3,1389,59.02,0.11,61,S,26.12,2026-06-29T10:17:34.699Z
3_1390_26.12,3,1390,53.63,6.83,3927,A,26.12,2026-06-29T10:17:34.699Z
3_1392_26.12,3,1392,52.85,0.21,123,A,26.12,2026-06-29T10:17:34.699Z
3_1402_26.12,3,1402,53.61,0.17,97,A,26.12,2026-06-29T10:17:34.699Z
3_1403_26.12,3,1403,53.68,0.88,503,A,26.12,2026-06-29T10:17:34.699Z
3_1415_26.12,3,1415,54.2,0.46,262,A,26.12,2026-06-29T10:17:34.699Z
3_1420_26.12,3,1420,51.7,0.67,383,B,26.12,2026-06-29T10:17:34.699Z
3_1421_26.12,3,1421,53.28,0.21,122,A,26.12,2026-06-29T10:17:34.699Z
3_2006_26.12,3,2006,52.98,20.85,11979,S,26.12,2026-06-29T10:17:34.699Z
3_2026_26.12,3,2026,51.56,0.33,192,B,26.12,2026-06-29T10:17:34.699Z
3_2034_26.12,3,2034,51.68,0.62,358,B,26.12,2026-06-29T10:17:34.699Z
3_2055_26.12,3,2055,51.11,4.15,2387,A,26.12,2026-06-29T10:17:34.699Z
3_2091_26.12,3,2091,51.98,0.31,177,B,26.12,2026-06-29T10:17:34.699Z
3_2102_26.12,3,2102,60.83,11.89,6831,S,26.12,2026-06-29T10:17:34.699Z
3_2127_26.12,3,2127,53.42,2.09,1200,A,26.12,2026-06-29T10:17:34.699Z
