_id,champion_id,augment_id,stage,win_rate,pick_rate,sample_size,patch_version,updated_at
0_1353_3_26.12,0,1353,3,47.56,0,43135,26.12,2026-06-29T10:17:34.724Z
0_1353_7_26.12,0,1353,7,47.85,0,59675,26.12,2026-06-29T10:17:34.724Z
0_1353_11_26.12,0,1353,11,49.25,0,74813,26.12,2026-06-29T10:17:34.724Z
0_1353_15_26.12,0,1353,15,49.31,0,69927,26.12,2026-06-29T10:17:34.724Z
0_1353_18_26.12,0,1353,18,69.7,0,406,26.12,2026-06-29T10:17:34.724Z
0_1181_3_26.12,0,1181,3,50.44,0,34940,26.12,2026-06-29T10:17:34.724Z
0_1181_7_26.12,0,1181,7,51.32,0,43159,26.12,2026-06-29T10:17:34.724Z
0_1181_11_26.12,0,1181,11,52.6,0,72356,26.12,2026-06-29T10:17:34.724Z
0_1181_15_26.12,0,1181,15,53.24,0,92013,26.12,2026-06-29T10:17:34.724Z
0_1181_18_26.12,0,1181,18,52.19,0,753,26.12,2026-06-29T10:17:34.724Z
0_1336_3_26.12,0,1336,3,45.5,0,40151,26.12,2026-06-29T10:17:34.725Z
0_1336_7_26.12,0,1336,7,46.74,0,56526,26.12,2026-06-29T10:17:34.725Z
0_1336_11_26.12,0,1336,11,47.95,0,69360,26.12,2026-06-29T10:17:34.725Z
0_1336_15_26.12,0,1336,15,47.73,0,73133,26.12,2026-06-29T10:17:34.725Z
0_1336_18_26.12,0,1336,18,47.83,0,69,26.12,2026-06-29T10:17:34.725Z
0_1390_3_26.12,0,1390,3,49.58,0,2999,26.12,2026-06-29T10:17:34.725Z
0_1390_7_26.12,0,1390,7,48.65,0,12130,26.12,2026-06-29T10:17:34.725Z
0_1390_11_26.12,0,1390,11,48.21,0,18534,26.12,2026-06-29T10:17:34.725Z
0_1390_15_26.12,0,1390,15,47.43,0,25534,26.12,2026-06-29T10:17:34.725Z
0_1152_3_26.12,0,1152,3,46.92,0,35711,26.12,2026-06-29T10:17:34.725Z
0_1152_7_26.12,0,1152,7,47.66,0,49407,26.12,2026-06-29T10:17:34.725Z
0_1152_11_26.12,0,1152,11,49.02,0,51490,26.12,2026-06-29T10:17:34.725Z
0_1152_15_26.12,0,1152,15,50.54,0,49088,26.12,2026-06-29T10:17:34.725Z
0_1152_18_26.12,0,1152,18,53.57,0,56,26.12,2026-06-29T10:17:34.725Z
0_1356_3_26.12,0,1356,3,55.23,0,182079,26.12,2026-06-29T10:17:34.725Z
0_1356_7_26.12,0,1356,7,48.58,0,4782,26.12,2026-06-29T10:17:34.725Z
0_1356_11_26.12,0,1356,11,49.21,0,7403,26.12,2026-06-29T10:17:34.725Z
0_1356_15_26.12,0,1356,15,51.75,0,10139,26.12,2026-06-29T10:17:34.725Z
0_2132_3_26.12,0,2132,3,56.41,0,23311,26.12,2026-06-29T10:17:34.725Z
0_2132_7_26.12,0,2132,7,55.35,0,23340,26.12,2026-06-29T10:17:34.725Z
0_2132_11_26.12,0,2132,11,54.62,0,25562,26.12,2026-06-29T10:17:34.725Z
0_2132_15_26.12,0,2132,15,52.86,0,21713,26.12,2026-06-29T10:17:34.725Z
0_1361_3_26.12,0,1361,3,53.93,0,145497,26.12,2026-06-29T10:17:34.725Z
0_1361_7_26.12,0,1361,7,53.03,0,150745,26.12,2026-06-29T10:17:34.725Z
0_1361_11_26.12,0,1361,11,53.57,0,173094,26.12,2026-06-29T10:17:34.725Z
0_1361_15_26.12,0,1361,15,50.79,0,142847,26.12,2026-06-29T10:17:34.725Z
0_1361_18_26.12,0,1361,18,55,0,160,26.12,2026-06-29T10:17:34.725Z
0_1133_3_26.12,0,1133,3,51.22,0,8416,26.12,2026-06-29T10:17:34.725Z
0_1133_7_26.12,0,1133,7,50.56,0,10931,26.12,2026-06-29T10:17:34.725Z
0_1133_11_26.12,0,1133,11,49.64,0,12622,26.12,2026-06-29T10:17:34.725Z
0_1133_15_26.12,0,1133,15,50.44,0,11922,26.12,2026-06-29T10:17:34.725Z
0_1134_7_26.12,0,1134,7,48.97,0,10105,26.12,2026-06-29T10:17:34.725Z
0_1134_11_26.12,0,1134,11,49.66,0,15468,26.12,2026-06-29T10:17:34.725Z
0_1134_15_26.12,0,1134,15,48.9,0,20501,26.12,2026-06-29T10:17:34.725Z
0_1030_3_26.12,0,1030,3,52.56,0,49720,26.12,2026-06-29T10:17:34.725Z
0_1030_7_26.12,0,1030,7,51.9,0,58411,26.12,2026-06-29T10:17:34.725Z
0_1030_11_26.12,0,1030,11,52.45,0,67329,26.12,2026-06-29T10:17:34.725Z
0_1030_15_26.12,0,1030,15,51.49,0,62814,26.12,2026-06-29T10:17:34.725Z
0_1030_18_26.12,0,1030,18,67.4,0,273,26.12,2026-06-29T10:17:34.725Z
0_1041_3_26.12,0,1041,3,49.93,0,14577,26.12,2026-06-29T10:17:34.725Z
0_1041_7_26.12,0,1041,7,50.22,0,23127,26.12,2026-06-29T10:17:34.725Z
0_1041_11_26.12,0,1041,11,50.77,0,40332,26.12,2026-06-29T10:17:34.725Z
0_1041_15_26.12,0,1041,15,50.5,0,48927,26.12,2026-06-29T10:17:34.725Z
0_1071_3_26.12,0,1071,3,54.09,0,22788,26.12,2026-06-29T10:17:34.725Z
0_1071_7_26.12,0,1071,7,53.31,0,69176,26.12,2026-06-29T10:17:34.725Z
0_1071_11_26.12,0,1071,11,52.57,0,65750,26.12,2026-06-29T10:17:34.725Z
0_1071_15_26.12,0,1071,15,51.12,0,64326,26.12,2026-06-29T10:17:34.725Z
0_1225_3_26.12,0,1225,3,49.56,0,9475,26.12,2026-06-29T10:17:34.725Z
0_1225_7_26.12,0,1225,7,49.04,0,12505,26.12,2026-06-29T10:17:34.725Z
0_1225_11_26.12,0,1225,11,49.94,0,19508,26.12,2026-06-29T10:17:34.725Z
0_1225_15_26.12,0,1225,15,50.42,0,22345,26.12,2026-06-29T10:17:34.725Z
0_1225_18_26.12,0,1225,18,53.15,0,762,26.12,2026-06-29T10:17:34.725Z
0_1388_3_26.12,0,1388,3,50.99,0,17296,26.12,2026-06-29T10:17:34.725Z
0_1388_7_26.12,0,1388,7,49.9,0,50336,26.12,2026-06-29T10:17:34.725Z
0_1388_11_26.12,0,1388,11,49.32,0,46381,26.12,2026-06-29T10:17:34.725Z
0_1388_15_26.12,0,1388,15,47.9,0,40314,26.12,2026-06-29T10:17:34.725Z
0_2006_3_26.12,0,2006,3,53.65,0,12502,26.12,2026-06-29T10:17:34.725Z
0_2006_7_26.12,0,2006,7,53.72,0,37457,26.12,2026-06-29T10:17:34.725Z
0_2006_11_26.12,0,2006,11,53.45,0,39591,26.12,2026-06-29T10:17:34.725Z
0_2006_15_26.12,0,2006,15,52.54,0,40159,26.12,2026-06-29T10:17:34.725Z
0_1097_3_26.12,0,1097,3,57.23,0,89052,26.12,2026-06-29T10:17:34.725Z
0_1097_7_26.12,0,1097,7,55.74,0,105129,26.12,2026-06-29T10:17:34.725Z
0_1097_11_26.12,0,1097,11,46.84,0,301,26.12,2026-06-29T10:17:34.725Z
0_1097_15_26.12,0,1097,15,44.97,0,169,26.12,2026-06-29T10:17:34.725Z
0_1022_3_26.12,0,1022,3,56.95,0,92044,26.12,2026-06-29T10:17:34.725Z
0_1022_7_26.12,0,1022,7,56.39,0,103728,26.12,2026-06-29T10:17:34.725Z
0_1022_11_26.12,0,1022,11,58.49,0,124573,26.12,2026-06-29T10:17:34.725Z
0_1022_15_26.12,0,1022,15,55.89,0,108446,26.12,2026-06-29T10:17:34.725Z
0_1022_18_26.12,0,1022,18,72.44,0,352,26.12,2026-06-29T10:17:34.725Z
0_1045_3_26.12,0,1045,3,47.5,0,4747,26.12,2026-06-29T10:17:34.725Z
0_1045_7_26.12,0,1045,7,48.59,0,16480,26.12,2026-06-29T10:17:34.725Z
0_1045_11_26.12,0,1045,11,48.99,0,19901,26.12,2026-06-29T10:17:34.725Z
0_1045_15_26.12,0,1045,15,48.83,0,23102,26.12,2026-06-29T10:17:34.725Z
0_1095_3_26.12,0,1095,3,48.04,0,4209,26.12,2026-06-29T10:17:34.725Z
0_1095_7_26.12,0,1095,7,47.98,0,8311,26.12,2026-06-29T10:17:34.725Z
0_1095_11_26.12,0,1095,11,47.47,0,16119,26.12,2026-06-29T10:17:34.725Z
0_1095_15_26.12,0,1095,15,47.09,0,21621,26.12,2026-06-29T10:17:34.725Z
0_2010_3_26.12,0,2010,3,48.35,0,36210,26.12,2026-06-29T10:17:34.725Z
0_2010_7_26.12,0,2010,7,47.13,0,38966,26.12,2026-06-29T10:17:34.725Z
0_2010_11_26.12,0,2010,11,47.64,0,42252,26.12,2026-06-29T10:17:34.725Z
0_2010_15_26.12,0,2010,15,47.12,0,36423,26.12,2026-06-29T10:17:34.725Z
0_2010_18_26.12,0,2010,18,70,0,160,26.12,2026-06-29T10:17:34.725Z
0_1195_3_26.12,0,1195,3,44.34,0,7038,26.12,2026-06-29T10:17:34.725Z
0_1195_7_26.12,0,1195,7,44.5,0,9310,26.12,2026-06-29T10:17:34.725Z
0_1195_11_26.12,0,1195,11,46.67,0,12516,26.12,2026-06-29T10:17:34.725Z
0_1195_15_26.12,0,1195,15,46.9,0,11646,26.12,2026-06-29T10:17:34.725Z
0_1195_18_26.12,0,1195,18,69.53,0,128,26.12,2026-06-29T10:17:34.725Z
0_1077_3_26.12,0,1077,3,54.96,0,23613,26.12,2026-06-29T10:17:34.725Z
0_1077_7_26.12,0,1077,7,52.16,0,4097,26.12,2026-06-29T10:17:34.725Z
0_1077_11_26.12,0,1077,11,51.31,0,5042,26.12,2026-06-29T10:17:34.725Z
0_1077_15_26.12,0,1077,15,49.95,0,6711,26.12,2026-06-29T10:17:34.725Z
0_1156_3_26.12,0,1156,3,48.14,0,53364,26.12,2026-06-29T10:17:34.725Z
0_1156_7_26.12,0,1156,7,46.29,0,2923,26.12,2026-06-29T10:17:34.725Z
0_1156_11_26.12,0,1156,11,46.99,0,4135,26.12,2026-06-29T10:17:34.725Z
0_1156_15_26.12,0,1156,15,47.66,0,4110,26.12,2026-06-29T10:17:34.725Z
0_1007_3_26.12,0,1007,3,54.15,0,16490,26.12,2026-06-29T10:17:34.725Z
0_1007_7_26.12,0,1007,7,53.27,0,54486,26.12,2026-06-29T10:17:34.725Z
0_1007_11_26.12,0,1007,11,51.85,0,51379,26.12,2026-06-29T10:17:34.725Z
0_1007_15_26.12,0,1007,15,50.12,0,49376,26.12,2026-06-29T10:17:34.725Z
0_1007_18_26.12,0,1007,18,68.97,0,58,26.12,2026-06-29T10:17:34.725Z
0_1115_3_26.12,0,1115,3,49.46,0,5423,26.12,2026-06-29T10:17:34.725Z
0_1115_7_26.12,0,1115,7,49.67,0,19471,26.12,2026-06-29T10:17:34.725Z
0_1115_11_26.12,0,1115,11,49.43,0,25636,26.12,2026-06-29T10:17:34.725Z
0_1115_15_26.12,0,1115,15,49.7,0,31899,26.12,2026-06-29T10:17:34.725Z
0_1138_3_26.12,0,1138,3,56.95,0,70469,26.12,2026-06-29T10:17:34.725Z
0_1138_7_26.12,0,1138,7,55.87,0,73906,26.12,2026-06-29T10:17:34.725Z
0_1138_11_26.12,0,1138,11,57.84,0,84644,26.12,2026-06-29T10:17:34.725Z
0_1138_15_26.12,0,1138,15,56.97,0,75455,26.12,2026-06-29T10:17:34.725Z
0_1138_18_26.12,0,1138,18,66.12,0,242,26.12,2026-06-29T10:17:34.725Z
0_1319_3_26.12,0,1319,3,55.32,0,50438,26.12,2026-06-29T10:17:34.725Z
0_1319_7_26.12,0,1319,7,54.67,0,56355,26.12,2026-06-29T10:17:34.725Z
0_1319_11_26.12,0,1319,11,54.56,0,62341,26.12,2026-06-29T10:17:34.725Z
0_1319_15_26.12,0,1319,15,53.97,0,70613,26.12,2026-06-29T10:17:34.725Z
0_1319_18_26.12,0,1319,18,67.31,0,52,26.12,2026-06-29T10:17:34.725Z
0_1013_3_26.12,0,1013,3,52.57,0,8469,26.12,2026-06-29T10:17:34.725Z
0_1013_7_26.12,0,1013,7,52.93,0,26797,26.12,2026-06-29T10:17:34.725Z
0_1013_11_26.12,0,1013,11,54.04,0,36504,26.12,2026-06-29T10:17:34.725Z
0_1013_15_26.12,0,1013,15,54.56,0,47685,26.12,2026-06-29T10:17:34.725Z
0_1013_18_26.12,0,1013,18,70.49,0,61,26.12,2026-06-29T10:17:34.725Z
0_2102_3_26.12,0,2102,3,49.33,0,7395,26.12,2026-06-29T10:17:34.725Z
0_2102_7_26.12,0,2102,7,48.8,0,9141,26.12,2026-06-29T10:17:34.725Z
0_2102_11_26.12,0,2102,11,49.5,0,10694,26.12,2026-06-29T10:17:34.725Z
0_2102_15_26.12,0,2102,15,48.67,0,10497,26.12,2026-06-29T10:17:34.725Z
0_1238_3_26.12,0,1238,3,56.54,0,642,26.12,2026-06-29T10:17:34.725Z
0_1238_7_26.12,0,1238,7,52.57,0,1033,26.12,2026-06-29T10:17:34.725Z
0_1238_11_26.12,0,1238,11,53.33,0,1639,26.12,2026-06-29T10:17:34.725Z
0_1238_15_26.12,0,1238,15,50.43,0,1987,26.12,2026-06-29T10:17:34.725Z
0_1328_3_26.12,0,1328,3,50.89,0,11313,26.12,2026-06-29T10:17:34.725Z
0_1328_7_26.12,0,1328,7,50.85,0,15769,26.12,2026-06-29T10:17:34.725Z
0_1328_11_26.12,0,1328,11,49.69,0,23723,26.12,2026-06-29T10:17:34.725Z
0_1328_15_26.12,0,1328,15,49.34,0,22628,26.12,2026-06-29T10:17:34.725Z
0_1328_18_26.12,0,1328,18,70.12,0,164,26.12,2026-06-29T10:17:34.725Z
0_1204_3_26.12,0,1204,3,43.41,0,26397,26.12,2026-06-29T10:17:34.725Z
0_1204_7_26.12,0,1204,7,44.51,0,27880,26.12,2026-06-29T10:17:34.725Z
0_1204_11_26.12,0,1204,11,45.55,0,28015,26.12,2026-06-29T10:17:34.725Z
0_1204_15_26.12,0,1204,15,46.81,0,21559,26.12,2026-06-29T10:17:34.725Z
0_1420_3_26.12,0,1420,3,50.1,0,13319,26.12,2026-06-29T10:17:34.725Z
0_1420_7_26.12,0,1420,7,49.54,0,18044,26.12,2026-06-29T10:17:34.725Z
0_1420_11_26.12,0,1420,11,49.41,0,23522,26.12,2026-06-29T10:17:34.725Z
0_1420_15_26.12,0,1420,15,46.87,0,20220,26.12,2026-06-29T10:17:34.725Z
0_1005_3_26.12,0,1005,3,46.16,0,34477,26.12,2026-06-29T10:17:34.725Z
0_1005_7_26.12,0,1005,7,43.84,0,917,26.12,2026-06-29T10:17:34.725Z
0_1005_11_26.12,0,1005,11,45.63,0,1407,26.12,2026-06-29T10:17:34.725Z
0_1005_15_26.12,0,1005,15,45.58,0,1876,26.12,2026-06-29T10:17:34.725Z
0_1081_3_26.12,0,1081,3,49.36,0,10662,26.12,2026-06-29T10:17:34.725Z
0_1081_7_26.12,0,1081,7,49.56,0,31172,26.12,2026-06-29T10:17:34.725Z
0_1081_11_26.12,0,1081,11,50.19,0,33470,26.12,2026-06-29T10:17:34.725Z
0_1081_15_26.12,0,1081,15,50.96,0,36200,26.12,2026-06-29T10:17:34.725Z
0_1081_18_26.12,0,1081,18,66.67,0,54,26.12,2026-06-29T10:17:34.725Z
0_2127_3_26.12,0,2127,3,50.49,0,28153,26.12,2026-06-29T10:17:34.725Z
0_2127_7_26.12,0,2127,7,49.94,0,31575,26.12,2026-06-29T10:17:34.725Z
0_2127_11_26.12,0,2127,11,49.95,0,41402,26.12,2026-06-29T10:17:34.725Z
0_2127_15_26.12,0,2127,15,49.1,0,36643,26.12,2026-06-29T10:17:34.725Z
