_id,riot_id,name_zh,title,icon_url,win_rate,pick_rate,sample_size,tier,roles,win_rate_change,pick_rate_change,previous_win_rate,previous_pick_rate,top_augments,avg_damage,avg_damage_taken,avg_kills,avg_deaths,avg_assists,kda,avg_gold,avg_cs,avg_cc_time,avg_turret_dmg,avg_heal_shield,avg_dmg_mitigated,damage_share,gold_efficiency,kill_participation,multi_kill_rate,utility_score,survivability,previous_games,wins,search_terms,role_tags,patch_version,updated_at
21,21,赏金猎人,,/assets/champions/16.13.1/21.png,49.5364041027103,1.2755547746297025,154337,3,射手;法师,-0.395,0.005,49.93144714725338,1.2705138864168875,"[{""id"":""1113"",""name"":""老练狙神"",""rarity"":""黄金"",""iconUrl"":""/assets/augments/icons/16.13/skilledsniper_small.png"",""description"":""用一个非终极技能狙击一个敌人时，返还该技能80%冷却时间(周期性技能返还65%)。""},{""id"":""1415"",""name"":""双生火焰"",""rarity"":""白银"",""iconUrl"":""/assets/augments/icons/16.13/twinfire_small.png"",""description"":""造成技能伤害时，发射1+?个飞弹，每个造成?魔法伤害。此外，获得%i:scaleCrit%25%暴击几率。""},{""id"":""2018"",""name"":""纯粹主义者 - 术师"",""rarity"":""白银"",""iconUrl"":""/assets/augments/icons/16.13/puristcaster_small.png"",""description"":""获得百分比冷却缩减并将你的所有攻击速度转化为技能急速。""},{""id"":""1092"",""name"":""易损"",""rarity"":""黄金"",""iconUrl"":""/assets/augments/icons/16.13/vulnerability_small.png"",""description"":""你的装备效果和持续伤害效果可以暴击。获得%i:scaleCrit% 25%暴击几率。""},{""id"":""1133"",""name"":""魔法飞弹"",""rarity"":""黄金"",""iconUrl"":""/assets/augments/icons/16.13/magicmissile_small.png"",""description"":""造成技能伤害会对其发射3个飞弹，每个造成基于飞行距离的百分比最大生命值的真实伤害。""}]",33307.089444,23982.874243,14.060038,9.853934,21.437345,3.602356,14238.886719,63.608844,12.156054,2123.470835,298.724687,11333.947796,0.581377,2.339164,0.78272,4.514499,0.045466,0.472585,432513,76453,"厄运小姐,MissFortune,Miss Fortune,女枪,MF,好运姐","Marksman,Mage",,2026-06-29T10:17:34.658Z
22,22,寒冰射手,,/assets/champions/16.13.1/22.png,51.415109624819344,1.2752407146088656,154299,2,射手;辅助,0.20409999999999998,0.0044,51.21099348157736,1.27082820063599,"[{""id"":""1356"",""name"":""暴击飞弹"",""rarity"":""黄金"",""iconUrl"":""/assets/augments/icons/16.13/criticalmissile_small.png"",""description"":""当你暴击时，发射飞弹造成魔法伤害。获得%i:scaleCrit% 25%暴击几率。""},{""id"":""1081"",""name"":""踢踏舞"",""rarity"":""棱彩"",""iconUrl"":""/assets/augments/icons/16.13/tapdancer_small.png"",""description"":""你的攻击会为你提供移动速度。基于你的移动速度获得攻击速度。""},{""id"":""1336"",""name"":""升级：无尽之刃"",""rarity"":""黄金"",""iconUrl"":""/assets/augments/icons/16.13/upgradeie_small.png"",""description"":""获得25% %i:scaleCrit%暴击几率和500金币。装备无尽之刃后，可使你的%i:scaleCrit%暴击几率在每次攻击都会提供随机的%i:scaleCritMult%暴击伤害。""},{""id"":""2010"",""name"":""双发快射"",""rarity"":""黄金"",""iconUrl"":""/assets/augments/icons/16.13/doubletap_small.png"",""description"":""你的暴击施加一次额外的%i:OnHit%附带攻击特效。获得%i:scaleCrit% ?暴击几率。""},{""id"":""1071"",""name"":""更万用的瞄准镜"",""rarity"":""黄金"",""iconUrl"":""/assets/augments/icons/16.13/scopierweapons_small.png"",""description"":""获得?攻击距离。""}]",27802.998136,23226.658456,9.077546,9.38915,24.007212,3.523722,12722.425735,52.179888,47.044081,2132.227696,82.292237,11828.614213,0.54484,2.185354,0.778943,2.051738,0.172165,0.509269,432620,79333,"艾希,Ashe,寒冰","Marksman,Support",,2026-06-29T10:17:34.659Z
63,63,复仇焰魂,,/assets/champions/16.13.1/63.png,54.143574277526454,1.2660668561054673,153189,1,法师;辅助,-0.513,0.001,54.65661404286839,1.2650912317583556,"[{""id"":""1045"",""name"":""炼狱导管"",""rarity"":""棱彩"",""iconUrl"":""/assets/augments/icons/16.13/infernalconduit_small.png"",""description"":""你的技能会施加一层可叠加的灼烧，持续造成魔法伤害。你的灼烧效果会降低你各基础技能的冷却时间。""},{""id"":""1133"",""name"":""魔法飞弹"",""rarity"":""黄金"",""iconUrl"":""/assets/augments/icons/16.13/magicmissile_small.png"",""description"":""造成技能伤害会对其发射3个飞弹，每个造成基于飞行距离的百分比最大生命值的真实伤害。""},{""id"":""1105"",""name"":""家园卫士"",""rarity"":""白银"",""iconUrl"":""/assets/augments/icons/16.13/homeguard_small.png"",""description"":""获得100%移动速度，在受到伤害后失效6秒。""},{""id"":""2132"",""name"":""术士果汁盒"",""rarity"":""黄金"",""iconUrl"":""/assets/augments/icons/16.13/warlockjuicebox_small.png"",""description"":""获得?全能吸血。""},{""id"":""1028"",""name"":""侵蚀"",""rarity"":""白银"",""iconUrl"":""/assets/augments/icons/16.13/erosion_small.png"",""description"":""对敌人造成伤害时会施加一层持续4秒且可叠加的护甲和魔法抗性击碎效果。""}]",35066.596806,26764.009574,9.245703,10.631011,25.48318,3.266753,13105.079943,45.659646,27.937378,918.834849,71.46969,12043.321641,0.56714,2.675802,0.76563,1.731712,0.081708,0.449982,430667,82942,"布兰德,Brand,火男","Mage,Support",,2026-06-29T10:17:34.659Z
51,51,皮城女警,,/assets/champions/16.13.1/51.png,53.76752772536616,1.217709877633951,147338,1,射手,1.0306,-0.0015999999999999999,52.736944046947954,1.2193570441209332,"[{""id"":""1134"",""name"":""亮出你的剑"",""rarity"":""棱彩"",""iconUrl"":""/assets/augments/icons/16.13/drawyoursword_small.png"",""description"":""变为近战状态，并且获得攻击力、生命值、攻击速度、生命偷取和移动速度 (每个属性都基于舍弃的攻击距离而进一步提升)。""},{""id"":""1336"",""name"":""升级：无尽之刃"",""rarity"":""黄金"",""iconUrl"":""/assets/augments/icons/16.13/upgradeie_small.png"",""description"":""获得25% %i:scaleCrit%暴击几率和500金币。装备无尽之刃后，可使你的%i:scaleCrit%暴击几率在每次攻击都会提供随机的%i:scaleCritMult%暴击伤害。""},{""id"":""1356"",""name"":""暴击飞弹"",""rarity"":""黄金"",""iconUrl"":""/assets/augments/icons/16.13/criticalmissile_small.png"",""description"":""当你暴击时，发射飞弹造成魔法伤害。获得%i:scaleCrit% 25%暴击几率。""},{""id"":""1195"",""name"":""巨人杀手"",""rarity"":""棱彩"",""iconUrl"":""/assets/augments/icons/16.13/giantslayer_small.png"",""description"":""体型变小，获得移动速度，并基于敌方英雄体型大于你的程度获得额外伤害。""},{""id"":""1071"",""name"":""更万用的瞄准镜"",""rarity"":""黄金"",""iconUrl"":""/assets/augments/icons/16.13/scopierweapons_small.png"",""description"":""获得?攻击距离。""}]",31801.33773,22927.419689,12.508871,9.143861,19.371448,3.486527,13772.990422,62.195086,29.582902,2539.235673,81.277673,11799.551578,0.581072,2.308964,0.77711,3.274651,0.09558,0.514648,415098,79220,"凯特琳,Caitlyn,女警",Marksman,,2026-06-29T10:17:34.659Z
202,202,戏命师,,/assets/champions/16.13.1/202.png,48.67028587135789,1.2026845850581152,145520,3,射手;法师,0.036699999999999997,-0.0147,48.63362924962417,1.217362470711863,"[{""id"":""1336"",""name"":""升级：无尽之刃"",""rarity"":""黄金"",""iconUrl"":""/assets/augments/icons/16.13/upgradeie_small.png"",""description"":""获得25% %i:scaleCrit%暴击几率和500金币。装备无尽之刃后，可使你的%i:scaleCrit%暴击几率在每次攻击都会提供随机的%i:scaleCritMult%暴击伤害。""},{""id"":""1195"",""name"":""巨人杀手"",""rarity"":""棱彩"",""iconUrl"":""/assets/augments/icons/16.13/giantslayer_small.png"",""description"":""体型变小，获得移动速度，并基于敌方英雄体型大于你的程度获得额外伤害。""},{""id"":""1220"",""name"":""连拨击锤"",""rarity"":""棱彩"",""iconUrl"":""/assets/augments/icons/16.13/fanthehammer_small.png"",""description"":""对敌方英雄的攻击会发射5个额外飞弹，造成随距离提升的额外伤害。每个方向的冷却时间独立计算。""},{""id"":""1356"",""name"":""暴击飞弹"",""rarity"":""黄金"",""iconUrl"":""/assets/augments/icons/16.13/criticalmissile_small.png"",""description"":""当你暴击时，发射飞弹造成魔法伤害。获得%i:scaleCrit% 25%暴击几率。""},{""id"":""1071"",""name"":""更万用的瞄准镜"",""rarity"":""黄金"",""iconUrl"":""/assets/augments/icons/16.13/scopierweapons_small.png"",""description"":""获得?攻击距离。""}]",31955.152059,23119.411689,13.827864,8.462071,21.968098,4.230166,14353.752766,59.490323,34.250922,2117.700749,76.594205,10998.574851,0.580216,2.226258,0.808801,3.812883,0.109581,0.475729,414419,70825,"烬,Jhin","Marksman,Mage",,2026-06-29T10:17:34.659Z
81,81,探险家,,/assets/champions/16.13.1/81.png,46.87060427210372,1.139856051415923,137918,4,射手;法师,0.7454999999999999,-0.0125,46.125119807492304,1.1523758027754063,"[{""id"":""1134"",""name"":""亮出你的剑"",""rarity"":""棱彩"",""iconUrl"":""/assets/augments/icons/16.13/drawyoursword_small.png"",""description"":""变为近战状态，并且获得攻击力、生命值、攻击速度、生命偷取和移动速度 (每个属性都基于舍弃的攻击距离而进一步提升)。""},{""id"":""1996"",""name"":""升级：耀光"",""rarity"":""黄金"",""iconUrl"":""/assets/augments/icons/16.13/upgradesheen_small.png"",""description"":""你的咒刃效果造成额外伤害并治疗你自身，治疗量相当于目标生命值的一定百分比。此外，获得250金币。""},{""id"":""1048"",""name"":""珠光护手"",""rarity"":""棱彩"",""iconUrl"":""/assets/augments/icons/16.13/jeweledgauntlet_small.png"",""description"":""你的技能可以造成暴击。获得%i:scaleCrit% ?暴击几率。""},{""id"":""1004"",""name"":""回归基本功"",""rarity"":""棱彩"",""iconUrl"":""/assets/augments/icons/16.13/backtobasics_small.png"",""description"":""获得提升过的技能伤害、治疗效果、护盾和技能急速，但你不能使用你的终极技能。""},{""id"":""2072"",""name"":""咒语裂变"",""rarity"":""棱彩"",""iconUrl"":""/assets/augments/icons/16.13/genericabilityaugmenticon_prismatic.png"",""description"":""在命中时、最大距离时或再次施放时，你的【?】技能的飞弹会分裂为两部分。""}]",34279.155256,25196.904371,11.663722,8.308528,20.826645,3.910484,13458.535165,53.131904,1.081851,2184.365858,271.524112,12769.747402,0.576352,2.54702,0.796354,2.555677,0.011077,0.506798,392296,64643,"伊泽瑞尔,Ezreal,EZ,小黄毛","Marksman,Mage",,2026-06-29T10:17:34.659Z
145,145,虚空之女,,/assets/champions/16.13.1/145.png,48.44610427650849,1.1286325380396935,136560,3,射手;法师,0.3251,0.0021,48.12103986858231,1.1265667866162186,"[{""id"":""1029"",""name"":""虚幻武器"",""rarity"":""黄金"",""iconUrl"":""/assets/augments/icons/16.13/etherealweapon_small.png"",""description"":""你的技能可施加%i:OnHit%攻击特效。每个目标有1秒冷却时间。""},{""id"":""2010"",""name"":""双发快射"",""rarity"":""黄金"",""iconUrl"":""/assets/augments/icons/16.13/doubletap_small.png"",""description"":""你的暴击施加一次额外的%i:OnHit%附带攻击特效。获得%i:scaleCrit% ?暴击几率。""},{""id"":""1004"",""name"":""回归基本功"",""rarity"":""棱彩"",""iconUrl"":""/assets/augments/icons/16.13/backtobasics_small.png"",""description"":""获得提升过的技能伤害、治疗效果、护盾和技能急速，但你不能使用你的终极技能。""},{""id"":""2009"",""name"":""狂热者"",""rarity"":""白银"",""iconUrl"":""/assets/augments/icons/16.13/zealot_small.png"",""description"":""获得?暴击几率和?攻击速度（随法术强度变化）。""},{""id"":""1225"",""name"":""双刀流"",""rarity"":""棱彩"",""iconUrl"":""/assets/augments/icons/16.13/dualwield_small.png"",""description"":""在攻击时，发射一个箭矢，它施加效能削减的%i:OnHit%攻击特效。获得10%总攻击速度。""}]",32026.887336,22179.316069,12.121909,8.600552,20.570389,3.801186,13811.372966,58.40292,0.173869,1647.681212,75.553571,16258.444547,0.590834,2.318878,0.791718,3.097896,0.002902,0.733045,383510,66158,"卡莎,Kaisa","Marksman,Mage",,2026-06-29T10:17:34.659Z
25,25,堕落天使,,/assets/champions/16.13.1/25.png,50.50943576408019,1.125086965699191,136131,3,辅助;法师,-0.4253,-0.017499999999999998,50.934771654514975,1.1426114993707694,"[{""id"":""1004"",""name"":""回归基本功"",""rarity"":""棱彩"",""iconUrl"":""/assets/augments/icons/16.13/backtobasics_small.png"",""description"":""获得提升过的技能伤害、治疗效果、护盾和技能急速，但你不能使用你的终极技能。""},{""id"":""1113"",""name"":""老练狙神"",""rarity"":""黄金"",""iconUrl"":""/assets/augments/icons/16.13/skilledsniper_small.png"",""description"":""用一个非终极技能狙击一个敌人时，返还该技能80%冷却时间(周期性技能返还65%)。""},{""id"":""1373"",""name"":""缩小引擎"",""rarity"":""黄金"",""iconUrl"":""/assets/augments/icons/16.13/shrinkengine_small.png"",""description"":""参与击杀后会让你变小并且获得技能急速和移动速度。阵亡时损失65%层数。""},{""id"":""1028"",""name"":""侵蚀"",""rarity"":""白银"",""iconUrl"":""/assets/augments/icons/16.13/erosion_small.png"",""description"":""对敌人造成伤害时会施加一层持续4秒且可叠加的护甲和魔法抗性击碎效果。""},{""id"":""1105"",""name"":""家园卫士"",""rarity"":""白银"",""iconUrl"":""/assets/augments/icons/16.13/homeguard_small.png"",""description"":""获得100%移动速度，在受到伤害后失效6秒。""}]",26609.92316,26051.043975,7.352762,8.717636,31.150633,4.416724,12689.325721,38.167142,67.203942,764.816001,2354.224965,14396.158617,0.505306,2.097032,0.815387,0.994908,0.341024,0.552614,388972,68759,"莫甘娜,Morgana","Support,Mage",,2026-06-29T10:17:34.659Z
222,222,暴走萝莉,,/assets/champions/16.13.1/222.png,57.46571844534388,1.0842756924651547,131193,1,射手,0.8515,-0.0034999999999999996,56.61419810594707,1.0878121371525076,"[{""id"":""1356"",""name"":""暴击飞弹"",""rarity"":""黄金"",""iconUrl"":""/assets/augments/icons/16.13/criticalmissile_small.png"",""description"":""当你暴击时，发射飞弹造成魔法伤害。获得%i:scaleCrit% 25%暴击几率。""},{""id"":""1336"",""name"":""升级：无尽之刃"",""rarity"":""黄金"",""iconUrl"":""/assets/augments/icons/16.13/upgradeie_small.png"",""description"":""获得25% %i:scaleCrit%暴击几率和500金币。装备无尽之刃后，可使你的%i:scaleCrit%暴击几率在每次攻击都会提供随机的%i:scaleCritMult%暴击伤害。""},{""id"":""1071"",""name"":""更万用的瞄准镜"",""rarity"":""黄金"",""iconUrl"":""/assets/augments/icons/16.13/scopierweapons_small.png"",""description"":""获得?攻击距离。""},{""id"":""1225"",""name"":""双刀流"",""rarity"":""棱彩"",""iconUrl"":""/assets/augments/icons/16.13/dualwield_small.png"",""description"":""在攻击时，发射一个箭矢，它施加效能削减的%i:OnHit%攻击特效。获得10%总攻击速度。""},{""id"":""1081"",""name"":""踢踏舞"",""rarity"":""棱彩"",""iconUrl"":""/assets/augments/icons/16.13/tapdancer_small.png"",""description"":""你的攻击会为你提供移动速度。基于你的移动速度获得攻击速度。""}]",28868.2594,24108.707928,11.482589,9.704343,21.402859,3.388735,13633.250571,68.421055,26.46139,2388.181419,78.983821,11092.624389,0.544921,2.117489,0.772144,4.037736,0.094399,0.460109,370317,75391,"金克丝,Jinx,金克斯",Marksman,,2026-06-29T10:17:34.659Z
901,901,炽炎雏龙,,/assets/champions/16.13.1/901.png,48.37699294876202,1.0818458596723626,130899,3,射手;法师,0.8142999999999999,0.1109,47.5626469173451,0.9709753731284314,"[{""id"":""1048"",""name"":""珠光护手"",""rarity"":""棱彩"",""iconUrl"":""/assets/augments/icons/16.13/jeweledgauntlet_small.png"",""description"":""你的技能可以造成暴击。获得%i:scaleCrit% ?暴击几率。""},{""id"":""1092"",""name"":""易损"",""rarity"":""黄金"",""iconUrl"":""/assets/augments/icons/16.13/vulnerability_small.png"",""description"":""你的装备效果和持续伤害效果可以暴击。获得%i:scaleCrit% 25%暴击几率。""},{""id"":""1996"",""name"":""升级：耀光"",""rarity"":""黄金"",""iconUrl"":""/assets/augments/icons/16.13/upgradesheen_small.png"",""description"":""你的咒刃效果造成额外伤害并治疗你自身，治疗量相当于目标生命值的一定百分比。此外，获得250金币。""},{""id"":""1004"",""name"":""回归基本功"",""rarity"":""棱彩"",""iconUrl"":""/assets/augments/icons/16.13/backtobasics_small.png"",""description"":""获得提升过的技能伤害、治疗效果、护盾和技能急速，但你不能使用你的终极技能。""},{""id"":""1415"",""name"":""双生火焰"",""rarity"":""白银"",""iconUrl"":""/assets/augments/icons/16.13/twinfire_small.png"",""description"":""造成技能伤害时，发射1+?个飞弹，每个造成?魔法伤害。此外，获得%i:scaleCrit%25%暴击几率。""}]",31718.452293,25497.274203,10.010213,9.819706,23.931839,3.456524,13377.315917,65.454819,12.782884,1164.876848,82.3214,11891.334516,0.554366,2.371063,0.77561,2.229157,0.042896,0.466377,330543,63325,"斯莫德,Smolder,小火龙","Marksman,Mage",,2026-06-29T10:17:34.659Z
